"source","sample_name","lab_dup","field_sample_date","lab_analysis_date","parameter","val_ppb","detection_note","strata","waterbody"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Surface","b",2021-10-07,2021-10-13,"rotenone_ppb",22.45,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Surface","b",2021-10-07,2021-10-13,"rotenolone_ppb",10.2,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Surface","b",2021-10-07,2021-10-13,"deguelin_ppb",19.91,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Surface","b",2021-10-07,2021-10-13,"tephrosin_ppb",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Surface","b",2021-10-07,2021-10-13,"cft_5",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Surface","b",2021-10-07,2021-10-13,"cft_6",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","a",2021-10-07,2021-10-13,"rotenone_ppb",18.75,NA,"Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","a",2021-10-07,2021-10-13,"rotenolone_ppb",9.05,NA,"Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","a",2021-10-07,2021-10-13,"deguelin_ppb",16.07,NA,"Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","a",2021-10-07,2021-10-13,"tephrosin_ppb",NA,"Detected","Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","a",2021-10-07,2021-10-13,"cft_5",NA,"Detected","Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","a",2021-10-07,2021-10-13,"cft_6",NA,"Detected","Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","b",2021-10-07,2021-10-13,"rotenone_ppb",18.36,NA,"Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","b",2021-10-07,2021-10-13,"rotenolone_ppb",8.6,NA,"Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","b",2021-10-07,2021-10-13,"deguelin_ppb",16.02,NA,"Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","b",2021-10-07,2021-10-13,"tephrosin_ppb",NA,"Detected","Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","b",2021-10-07,2021-10-13,"cft_5",NA,"Detected","Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Vogel_Benthic","b",2021-10-07,2021-10-13,"cft_6",NA,"Detected","Benthic","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","a",2021-10-07,2021-10-13,"rotenone_ppb",26.97,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","a",2021-10-07,2021-10-13,"rotenolone_ppb",14.3,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","a",2021-10-07,2021-10-13,"deguelin_ppb",21.57,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","a",2021-10-07,2021-10-13,"tephrosin_ppb",NA,"Detected","Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","a",2021-10-07,2021-10-13,"cft_5",NA,"Detected","Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","a",2021-10-07,2021-10-13,"cft_6",NA,"Detected","Surface","N_Vogel_Lake"
