date,time,parameter2
26.06.2021,7:15,13.3
26.06.2021,7:30,13.3
26.06.2021,7:45,13.2
26.06.2021,8:00,13.2
26.06.2021,8:15,13.2
26.06.2021,8:30,13.2
26.06.2021,8:45,13.1
26.06.2021,9:00,13.1
26.06.2021,9:15,13.1
26.06.2021,9:30,13.1
26.06.2021,9:45,13.1
26.06.2021,10:00,13.2
26.06.2021,10:15,13.2
26.06.2021,10:30,13.2
26.06.2021,10:45,13.3
26.06.2021,11:00,13.3
26.06.2021,11:15,13.3
26.06.2021,11:30,13.4
26.06.2021,11:45,13.5
26.06.2021,12:00,13.5
26.06.2021,12:15,13.6
26.06.2021,12:30,13.7
26.06.2021,12:45,13.8
26.06.2021,13:00,13.9
26.06.2021,13:15,14
26.06.2021,13:30,14
26.06.2021,13:45,14.1
26.06.2021,14:00,14.2
26.06.2021,14:15,14.3
26.06.2021,14:30,14.5
26.06.2021,14:45,14.6
26.06.2021,15:00,14.7
26.06.2021,15:15,14.8
26.06.2021,15:30,14.9
26.06.2021,15:45,14.9
26.06.2021,16:00,15
26.06.2021,16:15,15
26.06.2021,16:30,15.1
26.06.2021,16:45,15.1
26.06.2021,17:00,15.1
26.06.2021,17:15,15.1
26.06.2021,17:30,15.1
26.06.2021,17:45,15.1
26.06.2021,18:00,15.1
26.06.2021,18:15,15.1
26.06.2021,18:30,15.2
26.06.2021,18:45,15.2
26.06.2021,19:00,15.2
26.06.2021,19:15,15.2
26.06.2021,19:30,15.2
26.06.2021,19:45,15.2
26.06.2021,20:00,15.2
26.06.2021,20:15,15.2
26.06.2021,20:30,15.2
26.06.2021,20:45,15.2
26.06.2021,21:00,15.2
26.06.2021,21:15,15.2
26.06.2021,21:30,15.1
26.06.2021,21:45,15.1
26.06.2021,22:00,15.1
26.06.2021,22:15,15.1
26.06.2021,22:30,15.1
26.06.2021,22:45,15.1
26.06.2021,23:00,15
26.06.2021,23:15,15
26.06.2021,23:30,15
26.06.2021,23:45,15
27.06.2021,0:00,14.9
27.06.2021,0:15,14.9
27.06.2021,0:30,14.9
27.06.2021,0:45,14.9
27.06.2021,1:00,14.8
27.06.2021,1:15,14.8
27.06.2021,1:30,14.8
27.06.2021,1:45,14.7
27.06.2021,2:00,14.7
27.06.2021,2:15,14.7
27.06.2021,2:30,14.7
