MiniSonde 46440,,,,,,,
Log File Name : Vogel_Lake_Outlet_2022_46440,,,,,,,
Setup Date (M/D/YYYY) : 6/17/2022,,,,,,,
Setup Time (HH:MM:SS) : 13:04:07,,,,,,,
Starting Date (M/D/YYYY) : 6/17/2022,,,,,,,
Starting Time (HH:MM:SS) : 15:00:00,,,,,,,
Stopping Date (M/D/YYYY) : 9/15/2022,,,,,,,
Stopping Time (HH:MM:SS) : 12:00:00,,,,,,,
Interval (HH:MM:SS) : 01:00:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:00:30,,,,,,,
Circltr warmup (HH:MM:SS) : 00:00:30,,,,,,,
,,,,,,,
Date,Time,Temp,SpCond,TurbSC,LDO,pH,
M/D/YYYY,HH:MM:SS,?C,?S/cm,NTU,mg/l,Units,LoggerID
,,,,,,,
6/21/2022,6:00:00,17.63,74,0,8.42,7.1,46440
6/21/2022,7:00:00,17.56,74,0,8.62,7.08,46440
6/21/2022,8:00:00,17.56,74,0,8.59,7.13,46440
6/21/2022,9:00:00,17.58,74,0,8.62,7.14,46440
6/21/2022,10:00:00,17.78,74,0,8.9,7.24,46440
6/21/2022,11:00:00,17.99,74,0,9,7.29,46440
6/21/2022,12:00:00,18.24,74,0,9.06,7.33,46440
6/21/2022,13:00:00,18.52,75,0,9.1,7.35,46440
6/21/2022,14:00:00,18.76,74,0,9.16,7.4,46440
6/21/2022,15:00:00,19.21,74,0,9.17,7.41,46440
6/21/2022,16:00:00,19.78,74,0,9.13,7.4,46440
6/21/2022,17:00:00,20,74,0,9.15,7.39,46440
6/21/2022,18:00:00,19.58,74,0,9.21,7.39,46440
6/21/2022,19:00:00,19.37,73,0,9.56,7.28,46440
6/21/2022,20:00:00,19.3,73,0,9.71,7.3,46440
6/21/2022,21:00:00,19.21,73,0,9.6,7.38,46440
6/21/2022,22:00:00,19.12,74,0,9.47,7.36,46440
6/21/2022,23:00:00,19.03,74,0,9.38,7.36,46440
6/22/2022,0:00:00,18.96,74,0,9.26,7.33,46440
6/22/2022,1:00:00,18.89,74,0,9.32,7.32,46440
6/22/2022,2:00:00,18.78,74,0,9.2,7.29,46440
6/22/2022,3:00:00,18.65,74,0,9.06,7.23,46440
6/22/2022,4:00:00,18.58,74,0,8.98,7.2,46440
6/22/2022,5:00:00,18.49,74,0,8.68,7.18,46440
6/22/2022,6:00:00,18.44,74,0,8.62,7.11,46440
6/22/2022,7:00:00,18.46,74,0,8.93,7.26,46440
6/22/2022,8:00:00,18.49,75,0,8.98,7.32,46440
6/22/2022,9:00:00,18.6,74,0,8.98,7.36,46440
6/22/2022,10:00:00,18.76,74,0,8.96,7.38,46440
6/22/2022,11:00:00,19.04,74,0,9.06,7.4,46440
6/22/2022,12:00:00,19.35,74,0,9.08,7.42,46440
6/22/2022,13:00:00,19.68,74,0,9.11,7.42,46440
6/22/2022,14:00:00,20.12,74,0,9.14,7.41,46440
6/22/2022,15:00:00,20.61,75,0,9.11,7.42,46440
6/22/2022,16:00:00,21.19,75,0,9.12,7.41,46440
6/22/2022,17:00:00,21.22,75,0,9.14,7.4,46440
6/22/2022,18:00:00,20.64,74,0,9.21,7.42,46440
6/22/2022,19:00:00,20.3,74,0,9.42,7.3,46440
6/22/2022,20:00:00,20.12,74,0,9.95,7.34,46440
6/22/2022,21:00:00,20,74,0,9.72,7.37,46440
6/22/2022,22:00:00,19.88,74,0,9.66,7.38,46440
6/22/2022,23:00:00,19.8,74,0,9.5,7.33,46440
6/23/2022,0:00:00,19.8,74,0,9.56,7.31,46440
6/23/2022,1:00:00,19.72,74,0,9.39,7.28,46440
6/23/2022,2:00:00,19.65,74,0,9.4,7.21,46440
6/23/2022,3:00:00,19.62,74,0,9.33,7.17,46440
6/23/2022,4:00:00,19.75,74,0,8.94,7.28,46440
6/23/2022,5:00:00,19.81,74,0,8.83,7.27,46440
6/23/2022,6:00:00,19.77,74,0,8.95,7.31,46440
6/23/2022,7:00:00,19.66,75,0,8.93,7.29,46440
6/23/2022,8:00:00,19.63,75,0,8.91,7.28,46440
6/23/2022,9:00:00,19.67,75,0,8.9,7.32,46440
6/23/2022,10:00:00,19.79,75,0,8.78,7.31,46440
6/23/2022,11:00:00,19.95,75,0,8.86,7.34,46440
6/23/2022,12:00:00,20.17,75,0,8.89,7.28,46440
6/23/2022,13:00:00,20.43,75,0,8.97,7.34,46440
6/23/2022,14:00:00,20.77,75,0,9.05,7.35,46440
6/23/2022,15:00:00,21.15,75,0,9.05,7.36,46440
6/23/2022,16:00:00,21.68,75,0,9.08,7.36,46440
6/23/2022,17:00:00,21.91,75,0,9.13,7.37,46440
6/23/2022,18:00:00,21.82,75,0,9.1,7.38,46440
6/23/2022,19:00:00,21.42,75,0,9.06,7.35,46440
6/23/2022,20:00:00,21.13,75,0,9.24,7.25,46440
6/23/2022,21:00:00,20.99,74,0,9.93,7.17,46440
6/23/2022,22:00:00,20.83,75,0,9.51,7.24,46440
6/23/2022,23:00:00,20.79,76,0,9.26,7.16,46440
6/24/2022,0:00:00,20.86,76,0,9.18,7.12,46440
6/24/2022,1:00:00,20.7,75,0,9.36,7.19,46440
6/24/2022,2:00:00,20.56,76,0,9.13,7.1,46440
6/24/2022,3:00:00,20.39,75,0,9.06,7.07,46440
6/24/2022,4:00:00,20.2,75,0,8.79,7.03,46440
6/24/2022,5:00:00,20.05,77,0,8.71,7.01,46440
6/24/2022,6:00:00,19.88,76,0,8.37,6.93,46440
6/24/2022,7:00:00,19.78,75,0,8.24,6.92,46440
6/24/2022,8:00:00,19.74,76,0,8.46,6.91,46440
6/24/2022,9:00:00,19.79,76,0,8.4,7,46440
6/24/2022,10:00:00,19.95,75,0,8.65,7.09,46440
6/24/2022,11:00:00,20.19,75,0,8.67,7.16,46440
6/24/2022,12:00:00,20.39,75,0,8.85,7.22,46440
6/24/2022,13:00:00,20.64,75,0,8.91,7.26,46440
6/24/2022,14:00:00,20.67,75,0,8.9,7.25,46440
6/24/2022,15:00:00,20.83,75,0,8.97,7.28,46440
6/24/2022,16:00:00,21.01,75,0,9.08,7.31,46440
6/24/2022,17:00:00,21.11,75,0,8.94,7.3,46440
6/24/2022,18:00:00,21.25,75,0,8.94,7.26,46440
6/24/2022,19:00:00,21.45,75,0,9.09,7.32,46440
6/24/2022,20:00:00,21.76,75,0,9.03,7.33,46440
6/24/2022,21:00:00,22.07,75,0,9,7.28,46440
6/24/2022,22:00:00,21.9,75,0,9,7.29,46440
6/24/2022,23:00:00,21.71,75,0,8.99,7.28,46440
6/25/2022,0:00:00,21.5,75,0,8.98,7.26,46440
6/25/2022,1:00:00,21.33,75,0,8.88,7.2,46440
6/25/2022,2:00:00,21.11,75,0,8.75,7.15,46440
6/25/2022,3:00:00,20.87,75,0,8.64,7.09,46440
6/25/2022,4:00:00,20.67,75,0,8.43,7,46440
6/25/2022,5:00:00,20.48,75,0,8.29,6.96,46440
6/25/2022,6:00:00,20.34,75,0,8.02,6.92,46440
6/25/2022,7:00:00,20.2,75,0,8.03,6.94,46440
6/25/2022,8:00:00,20.12,75,0,7.99,6.92,46440
6/25/2022,9:00:00,20.06,75,0,7.87,6.92,46440
6/25/2022,10:00:00,20.02,75,0,7.84,6.91,46440
6/25/2022,11:00:00,20,75,0,7.79,6.9,46440
6/25/2022,12:00:00,20,76,0,7.93,6.95,46440
6/25/2022,13:00:00,19.95,75,0,8.17,6.97,46440
6/25/2022,14:00:00,20.03,75,0,8.31,6.98,46440
6/25/2022,15:00:00,20.09,75,0,8.29,6.99,46440
6/25/2022,16:00:00,20.21,76,0,8.09,6.97,46440
6/25/2022,17:00:00,20.41,76,0,8.25,7.04,46440
6/25/2022,18:00:00,20.59,76,0,8.39,7.08,46440
6/25/2022,19:00:00,20.74,76,0,8.41,7.11,46440
6/25/2022,20:00:00,20.88,75,0,8.53,7.11,46440
6/25/2022,21:00:00,20.81,75,0,8.64,7.16,46440
6/25/2022,22:00:00,20.62,75,0,8.62,7.15,46440
6/25/2022,23:00:00,20.44,76,0,8.55,7.11,46440
6/26/2022,0:00:00,20.3,76,0,8.48,7.02,46440
6/26/2022,1:00:00,20.12,76,0,8.27,6.96,46440
6/26/2022,2:00:00,19.98,75,0,8.16,6.94,46440
6/26/2022,3:00:00,19.82,75,0,8.12,6.94,46440
6/26/2022,4:00:00,19.71,76,0,7.96,6.93,46440
6/26/2022,5:00:00,19.58,76,0,7.82,6.92,46440
6/26/2022,6:00:00,19.45,76,0,7.74,6.9,46440
6/26/2022,7:00:00,19.35,76,0,7.56,6.89,46440
6/26/2022,8:00:00,19.26,76,0,7.5,6.89,46440
6/26/2022,9:00:00,19.2,76,0,7.49,6.89,46440
6/26/2022,10:00:00,19.13,76,0,7.55,6.88,46440
6/26/2022,11:00:00,19.12,76,0,7.85,6.94,46440
6/26/2022,12:00:00,19.15,76,0,7.85,6.98,46440
6/26/2022,13:00:00,19.21,76,0,7.62,6.94,46440
6/26/2022,14:00:00,19.4,76,0,7.9,7,46440
6/26/2022,15:00:00,19.6,76,0,8.23,7.05,46440
6/26/2022,16:00:00,19.98,76,0,8.29,7.06,46440
6/26/2022,17:00:00,20.25,76,0,8.35,7.12,46440
6/26/2022,18:00:00,20.41,76,0,8.38,7.14,46440
6/26/2022,19:00:00,20.58,76,0,8.32,7.15,46440
6/26/2022,20:00:00,20.72,76,0,8.38,7.18,46440
6/26/2022,21:00:00,20.75,75,0,8.38,7.19,46440
6/26/2022,22:00:00,20.79,75,0,8.59,7.23,46440
6/26/2022,23:00:00,20.6,76,0,8.54,7.2,46440
6/27/2022,0:00:00,20.39,76,0,8.57,7.16,46440
6/27/2022,1:00:00,20.17,75,0,8.58,7.13,46440
6/27/2022,2:00:00,19.98,76,0,8.4,6.97,46440
6/27/2022,3:00:00,19.78,76,0,8.15,6.95,46440
6/27/2022,4:00:00,19.55,76,0,8.02,6.89,46440
6/27/2022,5:00:00,19.37,76,0,7.74,6.87,46440
6/27/2022,6:00:00,19.21,76,0,7.58,6.83,46440
6/27/2022,7:00:00,19.1,76,0,7.65,6.84,46440
6/27/2022,8:00:00,19.02,76,0,7.53,6.84,46440
6/27/2022,9:00:00,18.97,76,0,7.4,6.82,46440
6/27/2022,10:00:00,18.97,76,0,7.23,6.79,46440
6/27/2022,11:00:00,19.03,77,0,7.45,6.83,46440
6/27/2022,12:00:00,19.16,76,0,7.44,6.84,46440
6/27/2022,13:00:00,19.47,76,0,7.84,6.88,46440
6/27/2022,14:00:00,19.84,75,0,8.41,6.99,46440
6/27/2022,15:00:00,20.15,76,0,8.53,7.13,46440
6/27/2022,16:00:00,20.25,75,0,8.72,7.17,46440
6/27/2022,17:00:00,20.31,75,0,8.67,7.16,46440
6/27/2022,18:00:00,20.39,75,0,8.82,7.22,46440
6/27/2022,19:00:00,20.4,75,0,8.94,7.2,46440
6/27/2022,20:00:00,20.4,75,0,9.03,7.18,46440
6/27/2022,21:00:00,20.38,75,0,9.26,7.1,46440
6/27/2022,22:00:00,20.35,75,0,9.18,7.11,46440
6/27/2022,23:00:00,20.26,75,0,9.05,7.2,46440
6/28/2022,0:00:00,20.13,76,0,9.07,7.12,46440
6/28/2022,1:00:00,19.96,76,0,8.94,7.13,46440
6/28/2022,2:00:00,19.79,76,0,8.8,7.06,46440
6/28/2022,3:00:00,19.61,76,0,8.68,7.04,46440
6/28/2022,4:00:00,19.42,75,0,8.49,6.99,46440
6/28/2022,5:00:00,19.24,75,0,8.39,6.97,46440
6/28/2022,6:00:00,19.07,76,0,8.41,6.98,46440
6/28/2022,7:00:00,18.95,76,0,8.49,6.99,46440
6/28/2022,8:00:00,18.92,76,0,0,6.96,46440
6/28/2022,9:00:00,18.96,76,0,8.13,6.89,46440
6/28/2022,10:00:00,19.05,75,0,7.86,6.77,46440
6/28/2022,11:00:00,19.29,76,0,8.07,6.83,46440
6/28/2022,12:00:00,19.69,76,0,8.52,7.09,46440
6/28/2022,13:00:00,20.08,76,0,8.64,7.17,46440
6/28/2022,14:00:00,20.32,76,0,8.71,7.24,46440
6/28/2022,15:00:00,20.5,75,0,8.83,7.28,46440
6/28/2022,16:00:00,20.66,75,0,8.87,7.31,46440
6/28/2022,17:00:00,20.79,75,0,8.94,7.33,46440
6/28/2022,18:00:00,20.82,75,0,8.99,7.34,46440
6/28/2022,19:00:00,20.82,75,0,8.96,7.32,46440
6/28/2022,20:00:00,20.85,75,0,9.01,7.34,46440
6/28/2022,21:00:00,20.77,75,0,9.08,7.25,46440
6/28/2022,22:00:00,20.8,76,0,8.96,7.31,46440
6/28/2022,23:00:00,20.93,76,0,8.95,7.36,46440
6/29/2022,0:00:00,20.95,76,0,9.05,7.38,46440
6/29/2022,1:00:00,20.8,76,0,8.97,7.31,46440
6/29/2022,2:00:00,20.64,75,0,8.96,7.25,46440
6/29/2022,3:00:00,20.47,76,0,8.82,7.16,46440
6/29/2022,4:00:00,20.3,76,0,8.75,7.11,46440
6/29/2022,5:00:00,20.06,75,0,8.69,7.01,46440
6/29/2022,6:00:00,19.93,76,0,8.5,6.98,46440
6/29/2022,7:00:00,19.83,76,0,8.48,7,46440
6/29/2022,8:00:00,19.77,75,0,8.31,6.92,46440
6/29/2022,9:00:00,19.78,76,0,8.34,6.91,46440
6/29/2022,10:00:00,19.85,76,0,8.41,6.96,46440
6/29/2022,11:00:00,20.09,76,0,8.53,7.02,46440
