HYDROLAB MS5 65979,,,,,,,
Log File Name : Vodel_Lake_Outlet_2022_65979,,,,,,,
Setup Date (M/D/YYYY) : 6/17/2022,,,,,,,
Setup Time (HH:MM:SS) : 13:10:27,,,,,,,
Starting Date (M/D/YYYY) : 6/17/2022,,,,,,,
Starting Time (HH:MM:SS) : 15:00:00,,,,,,,
Stopping Date (M/D/YYYY) : 9/15/2022,,,,,,,
Stopping Time (HH:MM:SS) : 12:00:00,,,,,,,
Interval (HH:MM:SS) : 01:00:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:00:30,,,,,,,
Circltr warmup (HH:MM:SS) : 00:00:30,,,,,,,
,,,,,,,
Date,Time,Temp,pH,SpCond,TurbSC,LDO,
M/D/YYYY,HH:MM:SS,?C,Units,?S/cm,NTU,mg/l,LoggerID
,,,,,,,
6/20/2022,18:00:00,18.85,7.33,77,67.8,0,65979
6/20/2022,19:00:00,18.89,7.39,77,67.8,0,65979
6/20/2022,20:00:00,18.91,7.41,77,68.6,0,65979
6/20/2022,21:00:00,18.87,7.49,77,68.8,0,65979
6/20/2022,22:00:00,18.81,7.5,77,68.7,0,65979
6/20/2022,23:00:00,18.69,7.46,77,68.7,0,65979
6/21/2022,0:00:00,18.55,7.46,78,68.6,0,65979
6/21/2022,1:00:00,18.44,7.38,77,68.7,0,65979
6/21/2022,2:00:00,18.3,7.32,77,68.7,0,65979
6/21/2022,3:00:00,18.15,7.32,77,68.7,0,65979
6/21/2022,4:00:00,18.01,7.27,77,68.8,0,65979
6/21/2022,5:00:00,17.86,7.28,77,68.9,0,65979
6/21/2022,6:00:00,17.75,7.24,78,68.9,0,65979
6/21/2022,7:00:00,17.67,7.22,78,68.9,0,65979
6/21/2022,8:00:00,17.64,7.26,77,69,0,65979
6/21/2022,9:00:00,17.68,7.23,77,68.9,0,65979
6/21/2022,10:00:00,17.8,7.2,77,68.9,0,65979
6/21/2022,11:00:00,18.02,7.21,77,68.8,0,65979
6/21/2022,12:00:00,18.18,7.26,77,68.9,0,65979
6/21/2022,13:00:00,18.51,7.26,77,68.9,0,65979
6/21/2022,14:00:00,18.86,7.4,77,68.8,0,65979
6/21/2022,15:00:00,19.09,7.49,77,68.8,0,65979
6/21/2022,16:00:00,19.57,7.55,77,68.8,0,65979
6/21/2022,17:00:00,19.85,7.56,78,68.8,0,65979
6/21/2022,18:00:00,19.53,7.47,78,68.7,0,65979
6/21/2022,19:00:00,19.47,7.43,77,68.6,0,65979
6/21/2022,20:00:00,19.42,7.46,77,68.6,0,65979
6/21/2022,21:00:00,19.32,7.54,77,68.4,0,65979
6/21/2022,22:00:00,19.22,7.52,78,68.2,0,65979
6/21/2022,23:00:00,19.13,7.5,77,68.2,0,65979
6/22/2022,0:00:00,19.06,7.47,77,68.1,0,65979
6/22/2022,1:00:00,18.98,7.44,78,68,0,65979
6/22/2022,2:00:00,18.88,7.42,78,67.9,0,65979
6/22/2022,3:00:00,18.75,7.36,77,67.8,0,65979
6/22/2022,4:00:00,18.66,7.4,78,67.6,0,65979
6/22/2022,5:00:00,18.56,7.29,78,67.5,0,65979
6/22/2022,6:00:00,18.49,7.21,78,67.4,0,65979
6/22/2022,7:00:00,18.46,7.22,78,67.3,0,65979
6/22/2022,8:00:00,18.47,7.26,77,67.3,0,65979
6/22/2022,9:00:00,18.52,7.17,78,67.1,0,65979
6/22/2022,10:00:00,18.61,7.17,78,67,0,65979
6/22/2022,11:00:00,18.9,7.34,78,67,0,65979
6/22/2022,12:00:00,19.15,7.51,77,67.2,0,65979
6/22/2022,13:00:00,19.57,7.57,78,67.3,0,65979
6/22/2022,14:00:00,20.2,7.59,77,67.3,0,65979
6/22/2022,15:00:00,20.49,7.59,78,67.5,0,65979
6/22/2022,16:00:00,20.92,7.6,78,67.6,0,65979
6/22/2022,17:00:00,21.06,7.6,78,67.7,0,65979
6/22/2022,18:00:00,20.59,7.59,78,67.4,0,65979
6/22/2022,19:00:00,20.36,7.46,78,67.3,0,65979
6/22/2022,20:00:00,20.24,7.5,77,67.2,0,65979
6/22/2022,21:00:00,20.12,7.54,78,67.1,0,65979
6/22/2022,22:00:00,19.98,7.54,78,67.1,0,65979
6/22/2022,23:00:00,19.89,7.48,78,67,0,65979
6/23/2022,0:00:00,19.86,7.46,78,66.9,0,65979
6/23/2022,1:00:00,19.81,7.41,79,66.8,0,65979
6/23/2022,2:00:00,19.75,7.36,77,66.7,0,65979
6/23/2022,3:00:00,19.69,7.33,76,66.6,0,65979
6/23/2022,4:00:00,19.66,7.26,77,66.5,0,65979
6/23/2022,5:00:00,19.63,7.21,77,66.5,0,65979
6/23/2022,6:00:00,19.71,7.21,78,66.5,0,65979
6/23/2022,7:00:00,19.66,7.25,78,66.4,0,65979
6/23/2022,8:00:00,19.6,7.28,79,66.3,0,65979
6/23/2022,9:00:00,19.63,7.38,78,66.3,0,65979
6/23/2022,10:00:00,19.75,7.44,78,66.3,0,65979
6/23/2022,11:00:00,19.91,7.48,78,66.2,0,65979
6/23/2022,12:00:00,20.06,7.45,78,66.3,0,65979
6/23/2022,13:00:00,20.32,7.48,78,66.4,0,65979
6/23/2022,14:00:00,20.79,7.5,78,66.4,0,65979
6/23/2022,15:00:00,21.03,7.52,78,66.5,0,65979
6/23/2022,16:00:00,21.42,7.53,78,66.7,0,65979
6/23/2022,17:00:00,21.72,7.53,78,66.7,0,65979
6/23/2022,18:00:00,21.76,7.54,79,66.7,0,65979
6/23/2022,19:00:00,21.4,7.5,79,66.5,0,65979
6/23/2022,20:00:00,21.21,7.37,78,66.4,0,65979
6/23/2022,21:00:00,21.11,7.3,78,66.2,0,65979
6/23/2022,22:00:00,20.93,7.4,79,66.1,0,65979
6/23/2022,23:00:00,20.85,7.32,79,66,0,65979
6/24/2022,0:00:00,20.89,7.32,79,65.9,0,65979
6/24/2022,1:00:00,20.8,7.32,79,65.7,0,65979
6/24/2022,2:00:00,20.65,7.29,79,65.7,0,65979
6/24/2022,3:00:00,20.49,7.2,79,65.5,0,65979
6/24/2022,4:00:00,20.3,7.17,79,65.4,0,65979
6/24/2022,5:00:00,20.14,7.13,79,65.3,0,65979
6/24/2022,6:00:00,19.98,7.08,80,65.1,0,65979
6/24/2022,7:00:00,19.87,7.05,79,65,0,65979
6/24/2022,8:00:00,19.82,7.12,79,65,0,65979
6/24/2022,9:00:00,19.84,6.99,79,64.9,0,65979
6/24/2022,10:00:00,19.95,7.06,79,64.9,0,65979
6/24/2022,11:00:00,20.08,7.08,79,64.9,0,65979
6/24/2022,12:00:00,20.3,7.24,79,65,0,65979
6/24/2022,13:00:00,20.6,7.3,79,65,0,65979
6/24/2022,14:00:00,20.67,7.33,79,65,0,65979
6/24/2022,15:00:00,20.84,7.38,79,65.1,0,65979
6/24/2022,16:00:00,21.1,7.39,79,65.1,0,65979
6/24/2022,17:00:00,21.13,7.4,79,65.1,0,65979
6/24/2022,18:00:00,21.28,7.42,79,65.1,0,65979
6/24/2022,19:00:00,21.4,7.44,79,65.2,0,65979
6/24/2022,20:00:00,21.58,7.49,79,65.1,0,65979
6/24/2022,21:00:00,21.82,7.49,79,65.2,0,65979
6/24/2022,22:00:00,21.98,7.48,79,65.2,0,65979
6/24/2022,23:00:00,21.82,7.46,79,65.1,0,65979
6/25/2022,0:00:00,21.6,7.45,79,65,0,65979
6/25/2022,1:00:00,21.42,7.36,79,64.9,0,65979
6/25/2022,2:00:00,21.21,7.3,79,64.8,0,65979
6/25/2022,3:00:00,20.98,7.23,79,64.7,0,65979
6/25/2022,4:00:00,20.76,7.18,79,64.5,0,65979
6/25/2022,5:00:00,20.59,7.17,79,64.4,0,65979
6/25/2022,6:00:00,20.44,7.1,80,64.3,0,65979
6/25/2022,7:00:00,20.29,7.11,79,64.1,0,65979
6/25/2022,8:00:00,20.22,7.11,79,64.1,0,65979
6/25/2022,9:00:00,20.16,7.1,79,64,0,65979
6/25/2022,10:00:00,20.11,7.1,79,63.9,0,65979
6/25/2022,11:00:00,20.09,7.08,79,63.9,0,65979
6/25/2022,12:00:00,20.09,7.1,79,63.8,0,65979
6/25/2022,13:00:00,20.03,7.12,79,64,0,65979
6/25/2022,14:00:00,20.04,7.07,79,64.1,0,65979
6/25/2022,15:00:00,20.12,7.09,79,64.2,0,65979
6/25/2022,16:00:00,20.21,7.12,79,64.3,0,65979
6/25/2022,17:00:00,20.38,7.11,79,64.4,0,65979
6/25/2022,18:00:00,20.59,7.18,79,64.7,0,65979
6/25/2022,19:00:00,20.71,7.2,80,64.7,0,65979
6/25/2022,20:00:00,20.74,7.2,79,64.9,0,65979
6/25/2022,21:00:00,20.88,7.25,79,65.1,0,65979
6/25/2022,22:00:00,20.71,7.3,80,65.1,0,65979
6/25/2022,23:00:00,20.54,7.23,80,65.1,0,65979
6/26/2022,0:00:00,20.4,7.17,79,65,0,65979
6/26/2022,1:00:00,20.23,7.07,80,65,0,65979
6/26/2022,2:00:00,20.07,7.1,79,64.8,0,65979
6/26/2022,3:00:00,19.92,7.08,80,64.8,0,65979
6/26/2022,4:00:00,19.8,7.07,80,64.7,0,65979
6/26/2022,5:00:00,19.67,7.06,80,64.7,0,65979
6/26/2022,6:00:00,19.55,7.04,80,64.6,0,65979
6/26/2022,7:00:00,19.44,7.03,80,64.5,0,65979
6/26/2022,8:00:00,19.34,7.02,80,64.5,0,65979
6/26/2022,9:00:00,19.26,7.02,79,64.5,0,65979
6/26/2022,10:00:00,19.2,6.99,79,64.4,0,65979
6/26/2022,11:00:00,19.15,6.96,79,64.4,0,65979
6/26/2022,12:00:00,19.17,6.94,80,64.4,0,65979
6/26/2022,13:00:00,19.19,6.92,80,64.3,0,65979
6/26/2022,14:00:00,19.41,6.98,80,64.4,0,65979
6/26/2022,15:00:00,19.59,7.03,79,64.5,0,65979
6/26/2022,16:00:00,19.9,7.08,79,64.6,0,65979
6/26/2022,17:00:00,20.13,7.14,80,64.7,0,65979
6/26/2022,18:00:00,20.35,7.21,80,64.8,0,65979
6/26/2022,19:00:00,20.54,7.25,80,64.8,0,65979
6/26/2022,20:00:00,20.64,7.28,80,64.9,0,65979
6/26/2022,21:00:00,20.73,7.28,80,64.9,0,65979
6/26/2022,22:00:00,20.83,7.3,80,64.9,0,65979
6/26/2022,23:00:00,20.68,7.3,81,64.9,0,65979
6/27/2022,0:00:00,20.48,7.28,81,64.8,0,65979
6/27/2022,1:00:00,20.29,7.27,80,64.7,0,65979
6/27/2022,2:00:00,20.08,7.1,81,64.6,0,65979
6/27/2022,3:00:00,19.88,7.08,81,64.4,0,65979
6/27/2022,4:00:00,19.66,7.02,81,64.4,0,65979
6/27/2022,5:00:00,19.48,7,81,64.2,0,65979
6/27/2022,6:00:00,19.33,6.99,80,64.1,0,65979
6/27/2022,7:00:00,19.18,6.98,80,63.9,0,65979
6/27/2022,8:00:00,19.12,6.97,80,63.9,0,65979
6/27/2022,9:00:00,19.08,6.95,80,63.9,0,65979
6/27/2022,10:00:00,19.07,6.96,80,63.8,0,65979
6/27/2022,11:00:00,19.09,6.9,80,63.6,0,65979
6/27/2022,12:00:00,19.18,6.97,80,63.5,0,65979
6/27/2022,13:00:00,19.53,6.94,80,63.3,0,65979
6/27/2022,14:00:00,19.82,6.97,80,63.4,0,65979
6/27/2022,15:00:00,20.16,7.02,80,63.5,0,65979
6/27/2022,16:00:00,20.25,7.03,80,63.5,0,65979
6/27/2022,17:00:00,20.37,7.05,80,63.6,0,65979
6/27/2022,18:00:00,20.42,7.15,79,63.5,0,65979
6/27/2022,19:00:00,20.49,7.17,79,63.4,0,65979
6/27/2022,20:00:00,20.48,7.12,80,63.3,0,65979
6/27/2022,21:00:00,20.5,7.19,79,63.2,0,65979
6/27/2022,22:00:00,20.45,7.22,79,63.2,0,65979
6/27/2022,23:00:00,20.35,7.29,79,63,0,65979
6/28/2022,0:00:00,20.23,7.26,79,62.9,0,65979
6/28/2022,1:00:00,20.07,7.22,79,62.8,0,65979
6/28/2022,2:00:00,19.89,7.18,79,62.7,0,65979
6/28/2022,3:00:00,19.7,7.16,79,62.5,0,65979
6/28/2022,4:00:00,19.54,7.13,79,62.3,0,65979
6/28/2022,5:00:00,19.35,7.11,79,62.1,0,65979
6/28/2022,6:00:00,19.18,7.1,79,61.9,0,65979
6/28/2022,7:00:00,19.06,7.09,79,61.7,0,65979
6/28/2022,8:00:00,19,7.08,79,61.6,0,65979
6/28/2022,9:00:00,19.02,7.03,79,61.5,0,65979
6/28/2022,10:00:00,19.09,6.9,79,61.5,0,65979
6/28/2022,11:00:00,19.18,6.89,79,61.4,0,65979
6/28/2022,12:00:00,19.39,6.89,80,61.5,0,65979
6/28/2022,13:00:00,19.84,6.93,80,61.4,0,65979
6/28/2022,14:00:00,20.25,6.97,79,61.5,0,65979
6/28/2022,15:00:00,20.48,7.08,79,61.6,0,65979
6/28/2022,16:00:00,20.64,7.19,79,61.7,0,65979
6/28/2022,17:00:00,20.83,7.29,79,61.7,0,65979
6/28/2022,18:00:00,20.84,7.43,79,61.6,0,65979
6/28/2022,19:00:00,20.86,7.41,79,61.5,0,65979
6/28/2022,20:00:00,20.88,7.38,79,61.4,0,65979
6/28/2022,21:00:00,20.82,7.25,80,61.3,0,65979
6/28/2022,22:00:00,20.82,7.19,80,61.3,0,65979
6/28/2022,23:00:00,20.88,7.28,80,61.3,0,65979
6/29/2022,0:00:00,20.98,7.39,80,61.3,0,65979
6/29/2022,1:00:00,20.89,7.38,79,61.1,0,65979
6/29/2022,2:00:00,20.74,7.35,79,61,0,65979
6/29/2022,3:00:00,20.57,7.28,80,61.1,0,65979
6/29/2022,4:00:00,20.38,7.24,79,61.1,0,65979
6/29/2022,5:00:00,20.18,7.18,79,61,0,65979
6/29/2022,6:00:00,20.02,7.13,80,60.9,0,65979
6/29/2022,7:00:00,19.9,7.15,79,60.6,0,65979
6/29/2022,8:00:00,19.85,7.11,79,60.4,0,65979
6/29/2022,9:00:00,19.83,7.08,80,60.2,0,65979
6/29/2022,10:00:00,19.92,7.16,79,60.1,0,65979
6/29/2022,11:00:00,20.04,7.15,80,60.1,0,65979
6/29/2022,12:00:00,20.18,7.13,79,60,0,65979
6/29/2022,13:00:00,20.5,7.14,80,60.1,0,65979
6/29/2022,14:00:00,20.9,7.18,79,60.2,0,65979
6/29/2022,15:00:00,21.12,7.24,79,60.3,0,65979
6/29/2022,16:00:00,21.36,7.33,79,60.3,0,65979
6/29/2022,17:00:00,21.52,7.36,80,60.3,0,65979
6/29/2022,18:00:00,21.4,7.33,79,60.3,0,65979
6/29/2022,19:00:00,21.36,7.32,79,60.2,0,65979
6/29/2022,20:00:00,21.36,7.26,79,60,0,65979
6/29/2022,21:00:00,21.32,7.22,80,59.9,0,65979
6/29/2022,22:00:00,21.31,7.24,79,59.9,0,65979
6/29/2022,23:00:00,21.35,7.26,79,59.8,0,65979
6/30/2022,0:00:00,21.34,7.38,80,59.8,0,65979
6/30/2022,1:00:00,21.2,7.35,79,59.7,0,65979
6/30/2022,2:00:00,21.05,7.27,80,59.5,0,65979
6/30/2022,3:00:00,20.9,7.17,80,59.3,0,65979
6/30/2022,4:00:00,20.74,7.12,80,59.2,0,65979
6/30/2022,5:00:00,20.53,7.04,80,58.9,0,65979
6/30/2022,6:00:00,20.34,7.07,80,58.6,0,65979
6/30/2022,7:00:00,20.2,7.14,80,58.3,0,65979
6/30/2022,8:00:00,20.07,7.06,80,58.1,0,65979
6/30/2022,9:00:00,20.05,7.07,80,58,0,65979
6/30/2022,10:00:00,20.09,7.07,80,58,0,65979
6/30/2022,11:00:00,20.19,7.1,80,58,0,65979
6/30/2022,12:00:00,20.35,7.09,80,58,0,65979
6/30/2022,13:00:00,20.62,7.17,80,58.2,0,65979
6/30/2022,14:00:00,20.87,7.26,79,58.4,0,65979
6/30/2022,15:00:00,21.1,7.34,80,58.3,0,65979
6/30/2022,16:00:00,21.28,7.41,80,58.3,0,65979
6/30/2022,17:00:00,21.37,7.46,79,58.4,0,65979
6/30/2022,18:00:00,21.45,7.16,80,58.4,0,65979
6/30/2022,19:00:00,21.5,7.22,80,58.4,0,65979
6/30/2022,20:00:00,21.52,7.15,80,58.3,0,65979
6/30/2022,21:00:00,21.55,7.21,80,58.2,0,65979
6/30/2022,22:00:00,21.53,7.2,80,58.1,0,65979
6/30/2022,23:00:00,21.43,7.21,80,57.9,0,65979
7/1/2022,0:00:00,21.3,7.19,80,57.8,0,65979
7/1/2022,1:00:00,21.13,7.12,80,57.6,0,65979
7/1/2022,2:00:00,20.99,7.08,80,57.4,0,65979
7/1/2022,3:00:00,20.87,7.07,80,57.3,0,65979
7/1/2022,4:00:00,20.74,7.05,80,57,0,65979
7/1/2022,5:00:00,20.57,7.01,80,56.9,0,65979
7/1/2022,6:00:00,20.38,6.92,80,56.7,0,65979
