Hydrolab MS5 47418,,,,,,,,,,
Log File Name : Vogel_Lake_47418,,,,,,,,,,
Setup Date (M/D/YYYY) : 5/27/2021,,,,,,,,,,
Setup Time (HH:MM:SS) : 10:17:08,,,,,,,,,,
Starting Date (M/D/YYYY) : 5/27/2021,,,,,,,,,,
Starting Time (HH:MM:SS) : 12:00:00,,,,,,,,,,
Stopping Date (M/D/YYYY) : 9/27/2021,,,,,,,,,,
Stopping Time (HH:MM:SS) : 12:00:00,,,,,,,,,,
Interval (HH:MM:SS) : 00:15:00,,,,,,,,,,
Sensor warmup (HH:MM:SS) : 00:02:00,,,,,,,,,,
Circltr warmup (HH:MM:SS) : 00:02:00,,,,,,,,,,
,,,,,,,,,,
Date,Time,Temp,pH,SpCond,TurbSC,LDO,IBatt,,,
M/D/YYYY,HH:MM:SS,?C,Units,?S/cm,NTU,mg/l,%Left,LoggerID,,
,,,,,,,,,,
Late probe turn on at 060421 052953,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 052959,,,,,,,,47418,,
Late probe turn on at 060421 052959,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054307,,,,,,,,47418,,
Late probe turn on at 060421 054307,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054315,,,,,,,,47418,,
Late probe turn on at 060421 054315,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054323,,,,,,,,47418,,
Late probe turn on at 060421 054323,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054330,,,,,,,,47418,,
Late probe turn on at 060421 054330,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054338,,,,,,,,47418,,
Late probe turn on at 060421 054338,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054345,,,,,,,,47418,,
Late probe turn on at 060421 054345,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054353,,,,,,,,47418,,
Late probe turn on at 060421 054353,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054400,,,,,,,,47418,,
Late probe turn on at 060421 054400,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054407,,,,,,,,47418,,
Late probe turn on at 060421 054407,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054413,,,,,,,,47418,,
Late probe turn on at 060421 054413,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054420,,,,,,,,47418,,
Late probe turn on at 060421 054420,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054424,,,,,,,,47418,,
Late probe turn on at 060421 054424,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054431,,,,,,,,47418,,
Late probe turn on at 060421 054431,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054435,,,,,,,,47418,,
Late probe turn on at 060421 054435,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054442,,,,,,,,47418,,
Late probe turn on at 060421 054442,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054446,,,,,,,,47418,,
Late probe turn on at 060421 054446,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054452,,,,,,,,47418,,
Late probe turn on at 060421 054452,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 054456,,,,,,,,47418,,
Late probe turn on at 060421 054456,,,,,,,,47418,,
6/4/2021,5:45:00,55,NAN,NAN,NAN,NAN,0,47418,,
Power loss from 010170 000000 to 060421 055807,,,,,,,,47418,,
Late probe turn on at 060421 055807,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055815,,,,,,,,47418,,
Late probe turn on at 060421 055815,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055823,,,,,,,,47418,,
Late probe turn on at 060421 055823,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055830,,,,,,,,47418,,
Late probe turn on at 060421 055830,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055837,,,,,,,,47418,,
Late probe turn on at 060421 055837,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055845,,,,,,,,47418,,
Late probe turn on at 060421 055845,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055852,,,,,,,,47418,,
Late probe turn on at 060421 055852,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055859,,,,,,,,47418,,
Late probe turn on at 060421 055859,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055906,,,,,,,,47418,,
Late probe turn on at 060421 055906,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055913,,,,,,,,47418,,
Late probe turn on at 060421 055913,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055917,,,,,,,,47418,,
Late probe turn on at 060421 055917,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055923,,,,,,,,47418,,
Late probe turn on at 060421 055923,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055928,,,,,,,,47418,,
Late probe turn on at 060421 055928,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055934,,,,,,,,47418,,
Late probe turn on at 060421 055934,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055938,,,,,,,,47418,,
Late probe turn on at 060421 055938,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055945,,,,,,,,47418,,
Late probe turn on at 060421 055945,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055949,,,,,,,,47418,,
Late probe turn on at 060421 055949,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 055956,,,,,,,,47418,,
Late probe turn on at 060421 055956,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 060000,,,,,,,,47418,,
Late probe turn on at 060421 060000,,,,,,,,47418,,
6/4/2021,6:00:00,55,NAN,NAN,NAN,NAN,0,47418,,
Power loss from 010170 000000 to 060421 061307,,,,,,,,47418,,
Late probe turn on at 060421 061307,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061315,,,,,,,,47418,,
Late probe turn on at 060421 061315,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061323,,,,,,,,47418,,
Late probe turn on at 060421 061323,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061330,,,,,,,,47418,,
Late probe turn on at 060421 061330,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061337,,,,,,,,47418,,
Late probe turn on at 060421 061337,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061345,,,,,,,,47418,,
Late probe turn on at 060421 061345,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061352,,,,,,,,47418,,
Late probe turn on at 060421 061352,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061359,,,,,,,,47418,,
Late probe turn on at 060421 061359,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061406,,,,,,,,47418,,
Late probe turn on at 060421 061406,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061412,,,,,,,,47418,,
Late probe turn on at 060421 061412,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061416,,,,,,,,47418,,
Late probe turn on at 060421 061416,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061423,,,,,,,,47418,,
Late probe turn on at 060421 061423,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061427,,,,,,,,47418,,
Late probe turn on at 060421 061427,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061434,,,,,,,,47418,,
Late probe turn on at 060421 061434,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061438,,,,,,,,47418,,
Late probe turn on at 060421 061438,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061444,,,,,,,,47418,,
Late probe turn on at 060421 061444,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061449,,,,,,,,47418,,
Late probe turn on at 060421 061449,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061455,,,,,,,,47418,,
Late probe turn on at 060421 061455,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 061459,,,,,,,,47418,,
Late probe turn on at 060421 061459,,,,,,,,47418,,
6/4/2021,6:15:03,55,NAN,NAN,NAN,NAN,0,47418,,
Power loss from 010170 000000 to 060421 062807,,,,,,,,47418,,
Late probe turn on at 060421 062807,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062815,,,,,,,,47418,,
Late probe turn on at 060421 062815,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062822,,,,,,,,47418,,
Late probe turn on at 060421 062822,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062830,,,,,,,,47418,,
Late probe turn on at 060421 062830,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062837,,,,,,,,47418,,
Late probe turn on at 060421 062837,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062845,,,,,,,,47418,,
Late probe turn on at 060421 062845,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062852,,,,,,,,47418,,
Late probe turn on at 060421 062852,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062859,,,,,,,,47418,,
Late probe turn on at 060421 062859,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062905,,,,,,,,47418,,
Late probe turn on at 060421 062905,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062909,,,,,,,,47418,,
Late probe turn on at 060421 062909,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062916,,,,,,,,47418,,
Late probe turn on at 060421 062916,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062920,,,,,,,,47418,,
Late probe turn on at 060421 062920,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062927,,,,,,,,47418,,
Late probe turn on at 060421 062927,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062931,,,,,,,,47418,,
Late probe turn on at 060421 062931,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062937,,,,,,,,47418,,
Late probe turn on at 060421 062937,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062941,,,,,,,,47418,,
Late probe turn on at 060421 062941,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062948,,,,,,,,47418,,
Late probe turn on at 060421 062948,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062952,,,,,,,,47418,,
Late probe turn on at 060421 062952,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 062958,,,,,,,,47418,,
Late probe turn on at 060421 062958,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064307,,,,,,,,47418,,
Late probe turn on at 060421 064307,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064315,,,,,,,,47418,,
Late probe turn on at 060421 064315,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064322,,,,,,,,47418,,
Late probe turn on at 060421 064322,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064330,,,,,,,,47418,,
Late probe turn on at 060421 064330,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064337,,,,,,,,47418,,
Late probe turn on at 060421 064337,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064344,,,,,,,,47418,,
Late probe turn on at 060421 064344,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064351,,,,,,,,47418,,
Late probe turn on at 060421 064351,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064358,,,,,,,,47418,,
Late probe turn on at 060421 064358,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064405,,,,,,,,47418,,
Late probe turn on at 060421 064405,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064409,,,,,,,,47418,,
Late probe turn on at 060421 064409,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064415,,,,,,,,47418,,
Late probe turn on at 060421 064415,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064419,,,,,,,,47418,,
Late probe turn on at 060421 064419,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064426,,,,,,,,47418,,
Late probe turn on at 060421 064426,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064430,,,,,,,,47418,,
Late probe turn on at 060421 064430,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064436,,,,,,,,47418,,
Late probe turn on at 060421 064436,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064441,,,,,,,,47418,,
Late probe turn on at 060421 064441,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064447,,,,,,,,47418,,
Late probe turn on at 060421 064447,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064451,,,,,,,,47418,,
Late probe turn on at 060421 064451,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 064457,,,,,,,,47418,,
Late probe turn on at 060421 064457,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065806,,,,,,,,47418,,
Late probe turn on at 060421 065806,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065815,,,,,,,,47418,,
Late probe turn on at 060421 065815,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065822,,,,,,,,47418,,
Late probe turn on at 060421 065822,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065829,,,,,,,,47418,,
Late probe turn on at 060421 065829,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065837,,,,,,,,47418,,
Late probe turn on at 060421 065837,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065844,,,,,,,,47418,,
Late probe turn on at 060421 065844,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065851,,,,,,,,47418,,
Late probe turn on at 060421 065851,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065858,,,,,,,,47418,,
Late probe turn on at 060421 065858,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065902,,,,,,,,47418,,
Late probe turn on at 060421 065902,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065908,,,,,,,,47418,,
Late probe turn on at 060421 065908,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065913,,,,,,,,47418,,
Late probe turn on at 060421 065913,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065919,,,,,,,,47418,,
Late probe turn on at 060421 065919,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065923,,,,,,,,47418,,
Late probe turn on at 060421 065923,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065930,,,,,,,,47418,,
Late probe turn on at 060421 065930,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065934,,,,,,,,47418,,
Late probe turn on at 060421 065934,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065940,,,,,,,,47418,,
Late probe turn on at 060421 065940,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065944,,,,,,,,47418,,
Late probe turn on at 060421 065944,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065951,,,,,,,,47418,,
Late probe turn on at 060421 065951,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 065955,,,,,,,,47418,,
Late probe turn on at 060421 065955,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071306,,,,,,,,47418,,
Late probe turn on at 060421 071306,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071314,,,,,,,,47418,,
Late probe turn on at 060421 071314,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071322,,,,,,,,47418,,
Late probe turn on at 060421 071322,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071329,,,,,,,,47418,,
Late probe turn on at 060421 071329,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071337,,,,,,,,47418,,
Late probe turn on at 060421 071337,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071344,,,,,,,,47418,,
Late probe turn on at 060421 071344,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071350,,,,,,,,47418,,
Late probe turn on at 060421 071350,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071357,,,,,,,,47418,,
Late probe turn on at 060421 071357,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071401,,,,,,,,47418,,
Late probe turn on at 060421 071401,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071408,,,,,,,,47418,,
Late probe turn on at 060421 071408,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071412,,,,,,,,47418,,
Late probe turn on at 060421 071412,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071418,,,,,,,,47418,,
Late probe turn on at 060421 071418,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071422,,,,,,,,47418,,
Late probe turn on at 060421 071422,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071429,,,,,,,,47418,,
Late probe turn on at 060421 071429,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071433,,,,,,,,47418,,
Late probe turn on at 060421 071433,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071439,,,,,,,,47418,,
Late probe turn on at 060421 071439,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071443,,,,,,,,47418,,
Late probe turn on at 060421 071443,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071450,,,,,,,,47418,,
Late probe turn on at 060421 071450,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071454,,,,,,,,47418,,
Late probe turn on at 060421 071454,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 071458,,,,,,,,47418,,
Late probe turn on at 060421 071458,,,,,,,,47418,,
6/4/2021,7:15:01,55,NAN,NAN,NAN,NAN,0,47418,,
Power loss from 010170 000000 to 060421 072806,,,,,,,,47418,,
Late probe turn on at 060421 072806,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072815,,,,,,,,47418,,
Late probe turn on at 060421 072815,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072822,,,,,,,,47418,,
Late probe turn on at 060421 072822,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072829,,,,,,,,47418,,
Late probe turn on at 060421 072829,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072837,,,,,,,,47418,,
Late probe turn on at 060421 072837,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072844,,,,,,,,47418,,
Late probe turn on at 060421 072844,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072850,,,,,,,,47418,,
Late probe turn on at 060421 072850,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072855,,,,,,,,47418,,
Late probe turn on at 060421 072855,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072901,,,,,,,,47418,,
Late probe turn on at 060421 072901,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072905,,,,,,,,47418,,
Late probe turn on at 060421 072905,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072912,,,,,,,,47418,,
Late probe turn on at 060421 072912,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072916,,,,,,,,47418,,
Late probe turn on at 060421 072916,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072922,,,,,,,,47418,,
Late probe turn on at 060421 072922,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072927,,,,,,,,47418,,
Late probe turn on at 060421 072927,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072933,,,,,,,,47418,,
Late probe turn on at 060421 072933,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072937,,,,,,,,47418,,
Late probe turn on at 060421 072937,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072943,,,,,,,,47418,,
Late probe turn on at 060421 072943,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072947,,,,,,,,47418,,
Late probe turn on at 060421 072947,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072952,,,,,,,,47418,,
Late probe turn on at 060421 072952,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 072958,,,,,,,,47418,,
Late probe turn on at 060421 072958,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074306,,,,,,,,47418,,
Late probe turn on at 060421 074306,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074314,,,,,,,,47418,,
Late probe turn on at 060421 074314,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074321,,,,,,,,47418,,
Late probe turn on at 060421 074321,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074329,,,,,,,,47418,,
Late probe turn on at 060421 074329,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074336,,,,,,,,47418,,
Late probe turn on at 060421 074336,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074343,,,,,,,,47418,,
Late probe turn on at 060421 074343,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074349,,,,,,,,47418,,
Late probe turn on at 060421 074349,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074356,,,,,,,,47418,,
Late probe turn on at 060421 074356,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074400,,,,,,,,47418,,
Late probe turn on at 060421 074400,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074406,,,,,,,,47418,,
Late probe turn on at 060421 074406,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074410,,,,,,,,47418,,
Late probe turn on at 060421 074410,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074417,,,,,,,,47418,,
Late probe turn on at 060421 074417,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074421,,,,,,,,47418,,
Late probe turn on at 060421 074421,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074427,,,,,,,,47418,,
Late probe turn on at 060421 074427,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074431,,,,,,,,47418,,
Late probe turn on at 060421 074431,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074437,,,,,,,,47418,,
Late probe turn on at 060421 074437,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074441,,,,,,,,47418,,
Late probe turn on at 060421 074441,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074445,,,,,,,,47418,,
Late probe turn on at 060421 074445,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074451,,,,,,,,47418,,
Late probe turn on at 060421 074451,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074456,,,,,,,,47418,,
Late probe turn on at 060421 074456,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 074500,,,,,,,,47418,,
Late probe turn on at 060421 074500,,,,,,,,47418,,
6/4/2021,7:45:00,55,NAN,NAN,NAN,NAN,0,47418,,
Power loss from 010170 000000 to 060421 075806,,,,,,,,47418,,
Late probe turn on at 060421 075806,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075814,,,,,,,,47418,,
Late probe turn on at 060421 075814,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075821,,,,,,,,47418,,
Late probe turn on at 060421 075821,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075829,,,,,,,,47418,,
Late probe turn on at 060421 075829,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075836,,,,,,,,47418,,
Late probe turn on at 060421 075836,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075843,,,,,,,,47418,,
Late probe turn on at 060421 075843,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075849,,,,,,,,47418,,
Late probe turn on at 060421 075849,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075854,,,,,,,,47418,,
Late probe turn on at 060421 075854,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075900,,,,,,,,47418,,
Late probe turn on at 060421 075900,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075904,,,,,,,,47418,,
Late probe turn on at 060421 075904,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075911,,,,,,,,47418,,
Late probe turn on at 060421 075911,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075915,,,,,,,,47418,,
Late probe turn on at 060421 075915,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075921,,,,,,,,47418,,
Late probe turn on at 060421 075921,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075925,,,,,,,,47418,,
Late probe turn on at 060421 075925,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075930,,,,,,,,47418,,
Late probe turn on at 060421 075930,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075936,,,,,,,,47418,,
Late probe turn on at 060421 075936,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075940,,,,,,,,47418,,
Late probe turn on at 060421 075940,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075944,,,,,,,,47418,,
Late probe turn on at 060421 075944,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075950,,,,,,,,47418,,
Late probe turn on at 060421 075950,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075954,,,,,,,,47418,,
Late probe turn on at 060421 075954,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 075959,,,,,,,,47418,,
Late probe turn on at 060421 075959,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081306,,,,,,,,47418,,
Late probe turn on at 060421 081306,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081314,,,,,,,,47418,,
Late probe turn on at 060421 081314,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081321,,,,,,,,47418,,
Late probe turn on at 060421 081321,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081328,,,,,,,,47418,,
Late probe turn on at 060421 081328,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081336,,,,,,,,47418,,
Late probe turn on at 060421 081336,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081343,,,,,,,,47418,,
Late probe turn on at 060421 081343,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081349,,,,,,,,47418,,
Late probe turn on at 060421 081349,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081353,,,,,,,,47418,,
Late probe turn on at 060421 081353,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081400,,,,,,,,47418,,
Late probe turn on at 060421 081400,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081404,,,,,,,,47418,,
Late probe turn on at 060421 081404,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081410,,,,,,,,47418,,
Late probe turn on at 060421 081410,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081414,,,,,,,,47418,,
Late probe turn on at 060421 081414,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081421,,,,,,,,47418,,
Late probe turn on at 060421 081421,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081425,,,,,,,,47418,,
Late probe turn on at 060421 081425,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081429,,,,,,,,47418,,
Late probe turn on at 060421 081429,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081435,,,,,,,,47418,,
Late probe turn on at 060421 081435,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081439,,,,,,,,47418,,
Late probe turn on at 060421 081439,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081444,,,,,,,,47418,,
Late probe turn on at 060421 081444,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081448,,,,,,,,47418,,
Late probe turn on at 060421 081448,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081454,,,,,,,,47418,,
Late probe turn on at 060421 081454,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 081458,,,,,,,,47418,,
Late probe turn on at 060421 081458,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 082806,,,,,,,,47418,,
Late probe turn on at 060421 082806,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 082814,,,,,,,,47418,,
Late probe turn on at 060421 082814,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 082822,,,,,,,,47418,,
Late probe turn on at 060421 082822,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 082829,,,,,,,,47418,,
Late probe turn on at 060421 082829,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 082837,,,,,,,,47418,,
Late probe turn on at 060421 082837,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 082843,,,,,,,,47418,,
Late probe turn on at 060421 082843,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 082847,,,,,,,,47418,,
Late probe turn on at 060421 082847,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 082854,,,,,,,,47418,,
Late probe turn on at 060421 082854,,,,,,,,47418,,
Power loss from 010170 000000 to 060421 082858,,,,,,,,47418,,
