HYDROLAB MS5 64822,,,,,,,
Log File Name : Miller_Creek_Buoy_64822_20210629,,,,,,,
Setup Date (M/D/YYYY) : 6/29/2021,,,,,,,
Setup Time (HH:MM:SS) : 17:49:21,,,,,,,
Starting Date (M/D/YYYY) : 6/29/2021,,,,,,,
Starting Time (HH:MM:SS) : 19:00:00,,,,,,,
Stopping Date (M/D/YYYY) : 9/29/2021,,,,,,,
Stopping Time (HH:MM:SS) : 19:00:00,,,,,,,
Interval (HH:MM:SS) : 00:15:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:02:00,,,,,,,
Circltr warmup (HH:MM:SS) : 00:02:00,,,,,,,
,,,,,,,
Date,Time,Temp,pH,SpCond,TurbSC,LDO,
M/D/YYYY,HH:MM:SS,?C,Units,?S/cm,NTU,mg/l,LoggerID
,,,,,,,
6/30/2021,15:45:00,18,5.57,72,49,10.08,64822
6/30/2021,16:00:00,18.07,5.57,72,49,10.11,64822
6/30/2021,16:15:00,18.13,5.57,72,48.9,10.1,64822
6/30/2021,16:30:00,18.16,5.58,72,48.8,10.18,64822
6/30/2021,16:45:00,18.15,5.59,72,49,10.29,64822
6/30/2021,17:00:00,18.17,5.59,72,49.2,10.29,64822
6/30/2021,17:15:00,18.19,5.6,72,49,10.28,64822
6/30/2021,17:30:00,18.21,5.61,72,49,10.34,64822
6/30/2021,17:45:00,18.22,5.62,72,48.9,10.35,64822
6/30/2021,18:00:00,18.23,5.63,72,49,10.35,64822
6/30/2021,18:15:00,18.2,5.64,72,49,10.37,64822
6/30/2021,18:30:00,18.23,5.64,72,49,10.31,64822
6/30/2021,18:45:00,18.2,5.65,72,49,10.37,64822
6/30/2021,19:00:00,18.19,5.65,72,49,10.36,64822
6/30/2021,19:15:00,18.22,5.65,72,49,10.31,64822
6/30/2021,19:30:00,18.2,5.66,72,49,10.29,64822
6/30/2021,19:45:00,18.22,5.65,72,49,10.27,64822
6/30/2021,20:00:00,18.17,5.66,72,49.1,10.2,64822
6/30/2021,20:15:00,18.17,5.66,72,49,10.2,64822
6/30/2021,20:30:00,18.17,5.66,72,49,10.24,64822
6/30/2021,20:45:00,18.14,5.67,72,49,10.22,64822
6/30/2021,21:00:00,18.12,5.67,72,49,10.23,64822
6/30/2021,21:15:00,18.09,5.68,72,49,10.21,64822
6/30/2021,21:30:00,18.09,5.67,72,49,10.21,64822
6/30/2021,21:45:00,18.07,5.67,72,48.9,10.19,64822
6/30/2021,22:00:00,18.05,5.67,72,49.2,10.21,64822
6/30/2021,22:15:00,18,5.67,72,49,10.17,64822
6/30/2021,22:30:00,17.98,5.67,72,49,10.14,64822
6/30/2021,22:45:00,17.94,5.67,72,49.2,10.11,64822
6/30/2021,23:00:00,17.89,5.66,72,49.1,10.17,64822
6/30/2021,23:15:00,17.86,5.66,72,49,10.12,64822
6/30/2021,23:30:00,17.8,5.65,72,49.2,10.05,64822
6/30/2021,23:45:00,17.76,5.65,72,49.1,10.09,64822
7/1/2021,0:00:00,17.73,5.64,72,49,10.06,64822
7/1/2021,0:15:00,17.66,5.64,72,49.1,10.03,64822
7/1/2021,0:30:00,17.6,5.64,72,49.1,10.03,64822
7/1/2021,0:45:00,17.6,5.64,72,49.1,10.04,64822
7/1/2021,1:00:00,17.56,5.64,72,49.1,9.94,64822
7/1/2021,1:15:00,17.5,5.64,72,49.4,9.96,64822
7/1/2021,1:30:00,17.49,5.63,72,49.2,9.86,64822
7/1/2021,1:45:00,17.47,5.63,72,49.2,9.83,64822
7/1/2021,2:00:00,17.42,5.62,72,49.3,9.77,64822
7/1/2021,2:15:00,17.38,5.62,72,49.3,9.84,64822
7/1/2021,2:30:00,17.34,5.62,72,49.2,9.83,64822
7/1/2021,2:45:00,17.3,5.61,72,49.3,9.7,64822
7/1/2021,3:00:00,17.26,5.61,72,49.2,9.72,64822
7/1/2021,3:15:00,17.2,5.61,72,49.2,9.69,64822
7/1/2021,3:30:00,17.16,5.6,72,49.3,9.67,64822
7/1/2021,3:45:00,17.09,5.6,72,49.2,9.71,64822
7/1/2021,4:00:00,17.11,5.6,72,49.2,9.82,64822
7/1/2021,4:15:00,17.12,5.6,72,49.2,9.84,64822
7/1/2021,4:30:00,17.11,5.61,72,49.2,9.86,64822
7/1/2021,4:45:00,17.1,5.61,71,49.1,9.87,64822
7/1/2021,5:00:00,17.09,5.61,72,49.2,9.87,64822
7/1/2021,5:15:00,17.07,5.61,71,49.2,9.88,64822
7/1/2021,5:30:00,17.05,5.61,72,49.2,9.77,64822
7/1/2021,5:45:00,17.03,5.61,71,49.2,9.82,64822
7/1/2021,6:00:00,17.01,5.61,72,49.3,9.71,64822
7/1/2021,6:15:00,17.01,5.6,72,49.2,9.74,64822
7/1/2021,6:30:00,17,5.6,72,49.2,9.73,64822
7/1/2021,6:45:00,17.01,5.6,71,49.2,9.76,64822
7/1/2021,7:00:00,17.02,5.6,71,49.2,9.8,64822
7/1/2021,7:15:00,17.04,5.6,71,49.2,9.79,64822
7/1/2021,7:30:00,17.06,5.6,72,49.2,9.84,64822
7/1/2021,7:45:00,17.1,5.6,72,49.2,9.76,64822
7/1/2021,8:00:00,17.13,5.6,72,49.2,9.79,64822
7/1/2021,8:15:00,17.17,5.61,72,50.1,9.8,64822
7/1/2021,8:30:00,17.21,5.61,71,49.2,9.81,64822
7/1/2021,8:45:00,17.24,5.61,71,49.2,9.83,64822
7/1/2021,9:00:00,17.29,5.61,72,49.2,9.85,64822
7/1/2021,9:15:00,17.35,5.61,72,49.1,9.83,64822
7/1/2021,9:30:00,17.41,5.61,71,49.1,9.89,64822
7/1/2021,9:45:00,17.46,5.62,71,49.2,9.9,64822
7/1/2021,10:00:00,17.51,5.62,71,49.1,9.87,64822
7/1/2021,10:15:00,17.55,5.63,72,49.2,9.98,64822
7/1/2021,10:30:00,17.56,5.63,71,49.2,9.92,64822
