HYDROLAB MS5 64822
"Log File Name : Miller_Creek_Buoy_64822_20210701"
"Setup Date (M/D/YYYY) : 7/1/2021"
"Setup Time (HH:MM:SS) : 10:40:50"
"Starting Date (M/D/YYYY) : 7/1/2021"
"Starting Time (HH:MM:SS) : 11:00:00"
"Stopping Date (M/D/YYYY) : 10/1/2021"
"Stopping Time (HH:MM:SS) : 11:00:00"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:00:45"
"Circltr warmup (HH:MM:SS) : 00:00:45"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","mg/l",""

7/1/2021,11:00:00,"","17.37","","5.62","","72","","49.1","*","9.64",""
7/1/2021,12:00:00,"","17.73","","5.64","","72","","49.8","*","9.94",""
7/1/2021,13:00:00,"","17.84","","5.65","","72","","48.5","*","9.98",""
7/1/2021,14:00:00,"","17.99","","5.65","","72","","48.4","*","10.00",""
7/1/2021,15:00:00,"","18.10","","5.64","","72","","48.4","*","10.10",""
7/1/2021,16:00:00,"","18.17","","5.65","","72","","48.3","*","10.27",""
7/1/2021,17:00:00,"","18.26","","5.67","","72","","48.3","*","10.26",""
7/1/2021,18:00:00,"","18.30","","5.69","","72","","48.3","*","10.29",""
7/1/2021,19:00:00,"","18.33","","5.69","","72","","48.3","*","10.22",""
7/1/2021,20:00:00,"","18.33","","5.70","","72","","48.3","*","10.26",""
7/1/2021,21:00:00,"","18.36","","5.70","","72","","48.1","*","10.16",""
7/1/2021,22:00:00,"","18.31","","5.69","","73","","48.1","*","10.07",""
7/1/2021,23:00:00,"","18.26","","5.68","","73","","48.1","*","9.98",""
7/2/2021,00:00:00,"","18.18","","5.64","","72","","48.4","*","9.81",""
7/2/2021,01:00:00,"","18.10","","5.62","","73","","48.1","*","9.73",""
7/2/2021,02:00:00,"","18.01","","5.60","","73","","48.0","*","9.61",""
7/2/2021,03:00:00,"","17.93","","5.58","","73","","48.1","*","9.52",""
7/2/2021,04:00:00,"","17.85","","5.58","","72","","48.1","*","9.56",""
7/2/2021,05:00:00,"","17.73","","5.57","","72","","48.3","*","9.50",""
7/2/2021,06:00:00,"","17.64","","5.55","","72","","48.2","*","9.47",""
7/2/2021,07:00:00,"","17.52","","5.54","","72","","48.2","*","9.31",""
7/2/2021,08:00:00,"","17.45","","5.52","","72","","48.3","*","9.08",""
7/2/2021,09:00:00,"","17.50","","5.51","","73","","48.2","*","8.87",""
7/2/2021,10:00:00,"","17.59","","5.48","","73","","48.3","*","8.98",""
7/2/2021,11:00:00,"","17.78","","5.47","","73","","48.3","*","9.18",""
7/2/2021,12:00:00,"","17.90","","5.47","","73","","48.3","*","9.35",""
7/2/2021,13:00:00,"","18.13","","5.45","","72","","48.2","*","9.39",""
7/2/2021,14:00:00,"","18.31","","5.47","","72","","48.1","*","9.57",""
7/2/2021,15:00:00,"","18.40","","5.47","","72","","48.1","*","9.55",""
7/2/2021,16:00:00,"","18.37","","5.47","","72","","48.2","*","9.50",""
7/2/2021,17:00:00,"","18.32","","5.49","","72","","48.7","*","9.43",""
7/2/2021,18:00:00,"","18.34","","5.50","","72","","48.1","*","9.48",""
7/2/2021,19:00:00,"","18.22","","5.51","","72","","48.1","*","9.44",""
7/2/2021,20:00:00,"","18.06","","5.51","","72","","48.2","*","9.39",""
7/2/2021,21:00:00,"","17.97","","5.52","","72","","48.1","*","9.41",""
7/2/2021,22:00:00,"","17.85","","5.53","","72","","48.2","*","9.45",""
7/2/2021,23:00:00,"","17.76","","5.53","","72","","48.3","*","9.39",""
7/3/2021,00:00:00,"","17.65","","5.54","","72","","48.2","*","9.27",""
7/3/2021,01:00:00,"","17.56","","5.53","","73","","48.2","*","9.15",""
7/3/2021,02:00:00,"","17.46","","5.53","","73","","48.3","*","8.97",""
7/3/2021,03:00:00,"","17.35","","5.53","","73","","48.2","*","9.08",""
7/3/2021,04:00:00,"","17.26","","5.52","","73","","48.3","*","9.01",""
7/3/2021,05:00:00,"","17.16","","5.52","","74","","48.5","*","8.99",""
