Hydrolab MS5 47418
"Log File Name : Miller_Creek_Buoy_47418_20210701"
"Setup Date (M/D/YYYY) : 7/1/2021"
"Setup Time (HH:MM:SS) : 11:01:45"
"Starting Date (M/D/YYYY) : 7/1/2021"
"Starting Time (HH:MM:SS) : 11:00:00"
"Stopping Date (M/D/YYYY) : 10/1/2021"
"Stopping Time (HH:MM:SS) : 11:00:00"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:00:45"
"Circltr warmup (HH:MM:SS) : 00:00:45"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","mg/l",""

7/4/2021,11:00:00,"","16.85","","8.15","","78","","0.0","","0.10",""
7/4/2021,12:00:00,"","16.99","","8.19","","78","","0.0","","0.10",""
7/4/2021,13:00:00,"","17.20","","8.21","","78","","0.0","","0.11",""
7/4/2021,14:00:00,"","17.38","","8.20","","78","","0.0","","0.11",""
7/4/2021,15:00:00,"","17.63","","8.22","","78","","0.0","","0.12",""
7/4/2021,16:00:00,"","17.83","","8.23","","78","","0.0","","0.12",""
7/4/2021,17:00:00,"","18.01","","8.25","","78","","0.0","","0.12",""
7/4/2021,18:00:00,"","18.27","","8.30","","78","","0.0","","0.13",""
7/4/2021,19:00:00,"","18.49","","8.34","","78","","0.0","","0.14",""
7/4/2021,20:00:00,"","18.63","","8.31","","78","","0.0","","0.14",""
7/4/2021,21:00:00,"","18.83","","8.35","","78","","0.0","","0.14",""
7/4/2021,22:00:00,"","18.79","","8.38","","78","","0.0","","0.14",""
7/4/2021,23:00:00,"","18.59","","8.32","","78","","0.0","","0.14",""
7/5/2021,00:00:00,"","18.40","","8.32","","78","","0.0","","0.13",""
7/5/2021,01:00:00,"","18.32","","8.31","","78","","0.0","","0.13",""
7/5/2021,02:00:00,"","18.14","","8.26","","79","","0.0","","0.13",""
7/5/2021,03:00:00,"","17.92","","8.24","","79","","0.0","","0.12",""
7/5/2021,04:00:00,"","17.67","","8.22","","79","","0.0","","0.12",""
7/5/2021,05:00:00,"","17.48","","8.20","","78","","0.0","","0.11",""
7/5/2021,06:00:00,"","17.33","","8.17","","78","","0.0","","0.11",""
7/5/2021,07:00:00,"","17.22","","8.16","","78","","0.0","","0.11",""
7/5/2021,08:00:00,"","17.17","","8.21","","78","","0.0","","0.11",""
7/5/2021,09:00:00,"","17.13","","8.17","","78","","0.0","","0.11",""
7/5/2021,10:00:00,"","17.14","","8.17","","78","","0.0","","0.11",""
7/5/2021,11:00:00,"","17.15","","8.17","","77","","0.0","","0.11",""
7/5/2021,12:00:00,"","17.19","","8.17","","78","","0.0","","0.11",""
7/5/2021,13:00:00,"","17.27","","8.18","","78","","0.0","","0.11",""
7/5/2021,14:00:00,"","17.29","","8.20","","78","","0.0","","0.11",""
7/5/2021,15:00:00,"","17.34","","8.22","","77","","0.0","","0.11",""
7/5/2021,16:00:00,"","17.37","","8.22","","78","","0.0","","0.11",""
7/5/2021,17:00:00,"","17.38","","8.27","","78","","0.0","","0.11",""
7/5/2021,18:00:00,"","17.36","","8.25","","78","","0.0","","0.11",""
7/5/2021,19:00:00,"","17.35","","8.25","","78","","0.0","","0.11",""
7/5/2021,20:00:00,"","17.32","","8.26","","80","","0.0","","0.11",""
7/5/2021,21:00:00,"","17.27","","8.24","","78","","0.0","","0.11",""
7/5/2021,22:00:00,"","17.21","","8.22","","78","","0.0","","0.11",""
7/5/2021,23:00:00,"","17.18","","8.21","","75","","0.0","","0.11",""
7/6/2021,00:00:00,"","17.12","","8.20","","78","","0.0","","0.11",""
7/6/2021,01:00:00,"","17.06","","8.20","","78","","0.0","","0.10",""
7/6/2021,02:00:00,"","17.00","","8.20","","78","","0.0","","0.10",""
7/6/2021,03:00:00,"","16.95","","8.19","","78","","0.0","","0.10",""
7/6/2021,04:00:00,"","16.89","","8.15","","78","","0.0","","0.10",""
7/6/2021,05:00:00,"","16.84","","8.15","","78","","0.0","","0.10",""
7/6/2021,06:00:00,"","16.80","","8.14","","78","","0.0","","0.10",""
7/6/2021,07:00:00,"","16.77","","8.14","","78","","0.0","","0.10",""
7/6/2021,08:00:00,"","16.74","","8.14","","79","","0.0","","0.10",""
7/6/2021,09:00:00,"","16.70","","8.15","","78","","0.0","","0.10",""
7/6/2021,10:00:00,"","16.70","","8.14","","74","","0.0","","0.10",""
7/6/2021,11:00:00,"","16.70","","8.14","","78","","0.0","","0.10",""
7/6/2021,12:00:00,"","16.68","","8.14","","79","","0.0","","0.10",""
7/6/2021,13:00:00,"","16.69","","8.13","","78","","0.0","","0.10",""
7/6/2021,14:00:00,"","16.79","","8.12","","79","","0.0","","0.10",""
7/6/2021,15:00:00,"","16.93","","8.17","","76","","0.0","","0.10",""
7/6/2021,16:00:00,"","17.09","","8.21","","78","","0.0","","0.10",""
7/6/2021,17:00:00,"","17.25","","8.23","","78","","0.0","","0.11",""
7/6/2021,18:00:00,"","17.37","","8.26","","78","","0.0","","0.11",""
7/6/2021,19:00:00,"","17.42","","8.25","","78","","0.0","","0.11",""
7/6/2021,20:00:00,"","17.49","","8.25","","78","","0.0","","0.11",""
7/6/2021,21:00:00,"","17.42","","8.28","","78","","0.0","","0.11",""
7/6/2021,22:00:00,"","17.34","","8.26","","78","","0.0","","0.11",""
7/6/2021,23:00:00,"","17.23","","8.23","","78","","0.0","","0.11",""
7/7/2021,00:00:00,"","17.11","","8.21","","78","","0.0","","0.10",""
7/7/2021,01:00:00,"","16.95","","8.19","","78","","0.0","","0.10",""
7/7/2021,02:00:00,"","16.82","","8.18","","78","","0.0","","0.10",""
7/7/2021,03:00:00,"","16.70","","8.15","","79","","0.0","","0.10",""
7/7/2021,04:00:00,"","16.60","","8.15","","78","","0.0","","0.09",""
7/7/2021,05:00:00,"","16.48","","8.15","","78","","0.0","","0.09",""
7/7/2021,06:00:00,"","16.39","","8.12","","79","","0.0","","0.09",""
7/7/2021,07:00:00,"","16.31","","8.13","","79","","0.0","","0.09",""
7/7/2021,08:00:00,"","16.27","","8.11","","79","","0.0","","0.09",""
7/7/2021,09:00:00,"","16.28","","8.13","","79","","0.0","","0.09",""
7/7/2021,10:00:00,"","16.42","","8.15","","79","","0.0","","0.09",""
7/7/2021,11:00:00,"","16.54","","8.17","","79","","0.0","","0.09",""
7/7/2021,12:00:00,"","16.72","","8.20","","79","","0.0","","0.10",""
7/7/2021,13:00:00,"","16.81","","8.20","","79","","0.0","","0.10",""
7/7/2021,14:00:00,"","16.98","","8.21","","78","","0.0","","0.10",""
7/7/2021,15:00:00,"","17.09","","8.24","","78","","0.0","","0.10",""
7/7/2021,16:00:00,"","17.16","","8.23","","79","","0.0","","0.11",""
7/7/2021,17:00:00,"","17.17","","8.24","","78","","0.0","","0.11",""
7/7/2021,18:00:00,"","17.25","","8.18","","78","","0.0","","0.11",""
7/7/2021,19:00:00,"","17.19","","8.20","","78","","0.0","","0.11",""
7/7/2021,20:00:00,"","17.22","","8.22","","78","","0.0","","0.11",""
7/7/2021,21:00:00,"","17.18","","8.24","","78","","0.0","","0.11",""
7/7/2021,22:00:00,"","17.15","","8.22","","78","","0.0","","0.11",""
7/7/2021,23:00:00,"","17.06","","8.22","","78","","0.0","","0.10",""
7/8/2021,00:00:00,"","16.95","","8.21","","78","","0.0","","0.10",""
7/8/2021,01:00:00,"","16.83","","8.19","","78","","0.0","","0.10",""
7/8/2021,02:00:00,"","16.73","","8.15","","78","","0.0","","0.10",""
7/8/2021,03:00:00,"","16.61","","8.16","","78","","0.0","","0.09",""
7/8/2021,04:00:00,"","16.52","","8.15","","78","","0.0","","0.09",""
7/8/2021,05:00:00,"","16.42","","8.14","","78","","0.0","","0.09",""
7/8/2021,06:00:00,"","16.32","","8.11","","78","","0.0","","0.09",""
7/8/2021,07:00:00,"","16.23","","8.12","","78","","0.0","","0.09",""
7/8/2021,08:00:00,"","16.18","","8.12","","78","","0.0","","0.08",""
7/8/2021,09:00:00,"","16.19","","8.11","","78","","0.0","","0.09",""
7/8/2021,10:00:00,"","16.22","","8.12","","78","","0.0","","0.09",""
7/8/2021,11:00:00,"","16.32","","8.11","","78","","0.0","","0.09",""
7/8/2021,12:00:00,"","16.42","","8.11","","78","","0.0","","0.09",""
7/8/2021,13:00:00,"","16.47","","8.08","","78","","0.0","","0.09",""
7/8/2021,14:00:00,"","16.58","","8.11","","78","","0.0","","0.09",""
7/8/2021,15:00:00,"","16.78","","8.14","","78","","0.0","","0.10",""
7/8/2021,16:00:00,"","16.95","","8.15","","79","","0.0","","0.10",""
7/8/2021,17:00:00,"","17.00","","8.15","","78","","0.0","","0.10",""
7/8/2021,18:00:00,"","17.07","","8.16","","78","","0.0","","0.10",""
7/8/2021,19:00:00,"","17.18","","8.18","","78","","0.0","","0.11",""
7/8/2021,20:00:00,"","17.14","","8.17","","78","","0.0","","0.11",""
7/8/2021,21:00:00,"","17.20","","8.21","","78","","0.0","","0.11",""
7/8/2021,22:00:00,"","17.14","","8.25","","77","","0.0","","0.11",""
7/8/2021,23:00:00,"","17.05","","8.22","","78","","0.0","","0.10",""
7/9/2021,00:00:00,"","16.98","","8.20","","78","","0.0","","0.10",""
7/9/2021,01:00:00,"","16.89","","8.16","","78","","0.0","","0.10",""
7/9/2021,02:00:00,"","16.80","","8.17","","78","","0.0","","0.10",""
7/9/2021,03:00:00,"","16.68","","8.15","","78","","0.0","","0.10",""
7/9/2021,04:00:00,"","16.59","","8.14","","78","","0.0","","0.09",""
7/9/2021,05:00:00,"","16.50","","8.13","","78","","0.0","","0.09",""
7/9/2021,06:00:00,"","16.42","","8.11","","78","","0.0","","0.09",""
7/9/2021,07:00:00,"","16.36","","8.10","","78","","0.0","","0.09",""
7/9/2021,08:00:00,"","16.34","","8.10","","78","","0.0","","0.09",""
7/9/2021,09:00:00,"","16.40","","8.11","","78","","0.0","","0.09",""
7/9/2021,10:00:00,"","16.48","","8.11","","78","","0.0","","0.09",""
7/9/2021,11:00:00,"","16.54","","8.08","","79","","0.0","","0.09",""
7/9/2021,12:00:00,"","16.66","","8.10","","79","","0.0","","0.10",""
7/9/2021,13:00:00,"","16.83","","8.10","","78","","0.0","","0.10",""
7/9/2021,14:00:00,"","16.94","","8.17","","78","","0.0","","0.10",""
7/9/2021,15:00:00,"","17.17","","8.18","","78","","0.0","","0.11",""
7/9/2021,16:00:00,"","17.22","","8.17","","78","","0.0","","0.11",""
7/9/2021,17:00:00,"","17.23","","8.24","","78","","0.0","","0.11",""
7/9/2021,18:00:00,"","17.18","","8.28","","78","","0.0","","0.11",""
7/9/2021,19:00:00,"","17.10","","8.25","","78","","0.0","","0.10",""
7/9/2021,20:00:00,"","17.02","","8.23","","78","","0.0","","0.10",""
7/9/2021,21:00:00,"","16.95","","8.19","","78","","0.0","","0.10",""
7/9/2021,22:00:00,"","16.88","","8.16","","78","","0.0","","0.10",""
7/9/2021,23:00:00,"","16.76","","8.15","","78","","0.0","","0.10",""
