MiniSonde5 64821,,,,,
Log File Name : 64821_Miller_NaCl,,,,,
Setup Date (M/D/YYYY) : 9/15/2021,,,,,
Setup Time (HH:MM:SS) : 16:15:26,,,,,
Starting Date (M/D/YYYY) : 9/15/2021,,,,,
Starting Time (HH:MM:SS) : 17:00:00,,,,,
Stopping Date (M/D/YYYY) : 9/20/2021,,,,,
Stopping Time (HH:MM:SS) : 17:15:26,,,,,
Interval (HH:MM:SS) : 00:15:00,,,,,
Sensor warmup (HH:MM:SS) : 00:01:00,,,,,
Circltr warmup (HH:MM:SS) : 00:01:00,,,,,
,,,,,
Date,Time,,Temp,,SpCond
M/D/YYYY,HH:MM:SS,,?C,,?S/cm
,,,,,
9/17/2021,2:45:00,,10.4,,81
9/17/2021,3:00:00,,10.37,,80
9/17/2021,3:15:00,,10.35,,81
9/17/2021,3:30:00,,10.32,,81
9/17/2021,3:45:00,,10.29,,80
9/17/2021,4:00:00,,10.26,,81
9/17/2021,4:15:00,,10.24,,81
9/17/2021,4:30:00,,10.21,,81
9/17/2021,4:45:00,,10.19,,81
9/17/2021,5:00:00,,10.17,,81
9/17/2021,5:15:00,,10.15,,81
9/17/2021,5:30:00,,10.14,,80
9/17/2021,5:45:00,,10.13,,81
9/17/2021,6:00:00,,10.12,,80
9/17/2021,6:15:00,,10.1,,80
9/17/2021,6:30:00,,10.09,,80
9/17/2021,6:45:00,,10.09,,81
9/17/2021,7:00:00,,10.08,,80
9/17/2021,7:15:00,,10.07,,80
9/17/2021,7:30:00,,10.07,,80
9/17/2021,7:45:00,,10.06,,81
9/17/2021,8:00:00,,10.05,,80
9/17/2021,8:15:00,,10.05,,81
9/17/2021,8:30:00,,10.04,,81
9/17/2021,8:45:00,,10.03,,81
9/17/2021,9:00:00,,10.01,,80
9/17/2021,9:15:00,,10.01,,81
9/17/2021,9:30:00,,10.01,,81
9/17/2021,9:45:00,,10.01,,80
9/17/2021,10:00:00,,10.03,,81
9/17/2021,10:15:00,,10.03,,80
9/17/2021,10:30:00,,10.03,,80
9/17/2021,10:45:00,,9.85,,80
