date,time,parameter3
14.05.2022,1:00,---
14.05.2022,2:00,---
14.05.2022,3:00,---
14.05.2022,4:00,---
14.05.2022,5:00,---
14.05.2022,6:00,---
14.05.2022,7:00,---
14.05.2022,8:00,---
14.05.2022,9:00,---
14.05.2022,10:00,---
14.05.2022,11:00,---
14.05.2022,12:00,---
14.05.2022,13:00,---
14.05.2022,14:00,5.3
14.05.2022,15:00,5.3
14.05.2022,16:00,5.3
14.05.2022,17:00,5.3
14.05.2022,18:00,5.3
14.05.2022,19:00,5.3
14.05.2022,20:00,5.3
14.05.2022,21:00,5.3
14.05.2022,22:00,5.3
14.05.2022,23:00,5.2
15.05.2022,0:00,5.2
15.05.2022,1:00,5.2
15.05.2022,2:00,5.2
15.05.2022,3:00,5.2
15.05.2022,4:00,5.2
15.05.2022,5:00,5.2
15.05.2022,6:00,5.2
15.05.2022,7:00,5.2
15.05.2022,8:00,5.2
15.05.2022,9:00,5.2
15.05.2022,10:00,5.2
15.05.2022,11:00,5.2
15.05.2022,12:00,5.2
15.05.2022,13:00,5.2
15.05.2022,14:00,5.2
15.05.2022,15:00,5.2
15.05.2022,16:00,5.2
15.05.2022,17:00,5.2
15.05.2022,18:00,5.2
15.05.2022,19:00,5.2
15.05.2022,20:00,5.2
15.05.2022,21:00,5.2
15.05.2022,22:00,5.2
15.05.2022,23:00,5.2
16.05.2022,0:00,5.1
16.05.2022,1:00,5.1
16.05.2022,2:00,5.1
16.05.2022,3:00,5.1
16.05.2022,4:00,5.1
16.05.2022,5:00,5.1
16.05.2022,6:00,5.1
16.05.2022,7:00,5.1
16.05.2022,8:00,5.1
16.05.2022,9:00,5.1
16.05.2022,10:00,5.1
16.05.2022,11:00,5.1
16.05.2022,12:00,5.1
16.05.2022,13:00,5.1
16.05.2022,14:00,5.1
16.05.2022,15:00,5.1
16.05.2022,16:00,5.1
16.05.2022,17:00,5.1
16.05.2022,18:00,5.1
16.05.2022,19:00,5.1
16.05.2022,20:00,5.1
16.05.2022,21:00,5.1
16.05.2022,22:00,5.1
16.05.2022,23:00,5.1
17.05.2022,0:00,5.1
17.05.2022,1:00,5.1
17.05.2022,2:00,5.1
17.05.2022,3:00,5.1
17.05.2022,4:00,5.1
17.05.2022,5:00,5.1
17.05.2022,6:00,5.1
17.05.2022,7:00,5.1
17.05.2022,8:00,5.1
17.05.2022,9:00,5.1
17.05.2022,10:00,5.1
17.05.2022,11:00,5.1
17.05.2022,12:00,5.1
17.05.2022,13:00,5.1
17.05.2022,14:00,5.1
17.05.2022,15:00,5.2
17.05.2022,16:00,5.2
17.05.2022,17:00,5.2
17.05.2022,18:00,5.2
17.05.2022,19:00,5.2
17.05.2022,20:00,5.1
17.05.2022,21:00,5.1
17.05.2022,22:00,5.1
17.05.2022,23:00,5.1
18.05.2022,0:00,5.1
18.05.2022,1:00,5.1
18.05.2022,2:00,5.1
18.05.2022,3:00,5.1
18.05.2022,4:00,5.1
18.05.2022,5:00,5.1
18.05.2022,6:00,5.1
18.05.2022,7:00,5.1
18.05.2022,8:00,5.1
18.05.2022,9:00,5.1
18.05.2022,10:00,5.1
18.05.2022,11:00,5.1
18.05.2022,12:00,5.1
18.05.2022,13:00,5.1
18.05.2022,14:00,5.2
18.05.2022,15:00,5.2
18.05.2022,16:00,5.2
18.05.2022,17:00,5.2
18.05.2022,18:00,5.2
18.05.2022,19:00,5.2
18.05.2022,20:00,5.2
18.05.2022,21:00,5.2
18.05.2022,22:00,5.2
18.05.2022,23:00,5.2
19.05.2022,0:00,5.2
19.05.2022,1:00,5.1
19.05.2022,2:00,5.1
19.05.2022,3:00,5.1
19.05.2022,4:00,5.1
19.05.2022,5:00,5.1
19.05.2022,6:00,5.1
19.05.2022,7:00,5.1
19.05.2022,8:00,5.1
19.05.2022,9:00,5.1
19.05.2022,10:00,5.1
19.05.2022,11:00,5.1
19.05.2022,12:00,5.1
19.05.2022,13:00,5.1
19.05.2022,14:00,5.1
19.05.2022,15:00,5.2
19.05.2022,16:00,5.2
19.05.2022,17:00,5.2
19.05.2022,18:00,5.2
19.05.2022,19:00,5.2
19.05.2022,20:00,5.2
19.05.2022,21:00,5.2
19.05.2022,22:00,5.2
19.05.2022,23:00,5.2
20.05.2022,0:00,5.2
20.05.2022,1:00,5.1
20.05.2022,2:00,5.1
20.05.2022,3:00,5.1
20.05.2022,4:00,5.1
20.05.2022,5:00,5.1
20.05.2022,6:00,5.1
20.05.2022,7:00,5.1
20.05.2022,8:00,5.1
20.05.2022,9:00,5.1
20.05.2022,10:00,5.1
20.05.2022,11:00,5.1
20.05.2022,12:00,5.1
20.05.2022,13:00,5.1
20.05.2022,14:00,5.2
20.05.2022,15:00,5.2
20.05.2022,16:00,5.2
20.05.2022,17:00,5.2
20.05.2022,18:00,5.2
20.05.2022,19:00,5.2
20.05.2022,20:00,5.2
20.05.2022,21:00,5.2
20.05.2022,22:00,5.2
20.05.2022,23:00,5.2
21.05.2022,0:00,5.2
21.05.2022,1:00,5.2
21.05.2022,2:00,5.2
21.05.2022,3:00,5.2
21.05.2022,4:00,5.2
21.05.2022,5:00,5.1
21.05.2022,6:00,5.1
21.05.2022,7:00,5.1
21.05.2022,8:00,5.1
21.05.2022,9:00,5.1
21.05.2022,10:00,5.1
21.05.2022,11:00,5.1
21.05.2022,12:00,5.2
21.05.2022,13:00,5.2
21.05.2022,14:00,5.2
21.05.2022,15:00,5.2
21.05.2022,16:00,5.2
21.05.2022,17:00,5.2
21.05.2022,18:00,5.2
21.05.2022,19:00,5.2
21.05.2022,20:00,5.2
21.05.2022,21:00,5.2
21.05.2022,22:00,5.2
21.05.2022,23:00,5.2
22.05.2022,0:00,5.2
22.05.2022,1:00,5.2
22.05.2022,2:00,5.2
22.05.2022,3:00,5.2
22.05.2022,4:00,5.2
22.05.2022,5:00,5.2
22.05.2022,6:00,5.2
22.05.2022,7:00,5.2
22.05.2022,8:00,5.2
22.05.2022,9:00,5.2
22.05.2022,10:00,5.2
22.05.2022,11:00,5.2
22.05.2022,12:00,5.2
22.05.2022,13:00,5.2
22.05.2022,14:00,5.2
22.05.2022,15:00,5.2
22.05.2022,16:00,5.2
22.05.2022,17:00,5.2
22.05.2022,18:00,5.2
22.05.2022,19:00,5.2
22.05.2022,20:00,5.2
22.05.2022,21:00,5.2
22.05.2022,22:00,5.2
22.05.2022,23:00,5.2
23.05.2022,0:00,5.2
23.05.2022,1:00,5.2
23.05.2022,2:00,5.2
23.05.2022,3:00,5.1
23.05.2022,4:00,5.1
23.05.2022,5:00,5.1
23.05.2022,6:00,5.1
23.05.2022,7:00,5.1
23.05.2022,8:00,5.1
23.05.2022,9:00,5.1
23.05.2022,10:00,5.1
23.05.2022,11:00,5.1
23.05.2022,12:00,5.1
23.05.2022,13:00,5.1
23.05.2022,14:00,5.2
23.05.2022,15:00,5.2
23.05.2022,16:00,5.2
23.05.2022,17:00,5.2
23.05.2022,18:00,5.2
