"data_type","site_name","event","field_sample_date","site_arrival_time","site_depart_time","personnel","latitude","longitude","drill_date_time","weather","sample_name","sample_depth_m","general_notes","link_to_raw_data","link_to_analyses","qc1","data_entry","qc2","link_to_photos","qc2_notes","x22"
"Rotenone","North_Vogel_Lake_Rotenone_Surface_2","Post_Treatment_Rotenone",2021-10-07,NA,NA,"RM",60.99716202,-150.412048,NA,NA,NA,0,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
"Rotenone","North_Vogel_Lake_Rotenone_Surface_2","Post_Treatment_Rotenone",2021-12-02,15:00:00,16:00:00,"BM, JMB",60.99716202,-150.412048,2021-12-02 15:20:00,"Clear",NA,NA,"Sampled by KWF","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","JMB 20211210","JMB 20211210",NA,NA,NA,NA
"Rotenone","North_Vogel_Lake_Rotenone_Surface_2","Post_Treatment_Rotenone",2022-01-04,15:48:00,16:05:00,"BM. MP",60.99716202,-150.412048,2022-01-04 15:55:00,"Clear",NA,NA,"some frozen glass along top rim of glass","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20220104","JMB 20220113",NA,NA,NA,NA
"Rotenone","North_Vogel_Lake_Rotenone_Surface_3","Post_Treatment_Rotenone",2021-11-10,NA,NA,"RM",60.995843,-150.414735,NA,NA,NA,0,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Benthic_1","Post_Treatment_Rotenone",2021-10-07,NA,NA,"RM",60.99122998,-150.429541,NA,NA,NA,NA,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Benthic_1","Post_Treatment_Rotenone",2021-12-02,18:10:00,19:15:00,"BM, JMB",60.991229,-150.429541,2021-12-02 18:15:00,"Clear",NA,NA,"Sampled by KWF","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","JMB 20211210","JMB 20211210",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Benthic_1","Post_Treatment_Rotenone",2022-01-05,09:10:00,09:20:00,"BM, MP",60.98769,-150.42764,2022-01-05 08:19:00,"Clear",NA,NA,"Meg took video","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20220105","JMB 20220113",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Benthic_2","Post_Treatment_Rotenone",2021-10-07,NA,NA,"RM",60.98769098,-150.427647,NA,NA,NA,NA,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Benthic_2","Post_Treatment_Rotenone",2021-12-02,18:10:00,19:15:00,"BM, JMB",60.987691,-150.427647,2021-12-02 18:15:00,"Clear",NA,NA,"Sampled by KWF","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","JMB 20211210","JMB 20211210",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Benthic_2","Post_Treatment_Rotenone",2022-01-05,09:10:00,09:20:00,"BM, MP",60.99123,-150.42953,2022-01-05 08:19:00,"Clear",NA,NA,"Meg took video","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20220105","JMB 20220113",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Surface_1","Pre_Treatment_Rotenone",2021-09-27,NA,NA,"RM",60.99122998,-150.429541,NA,NA,NA,NA,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Surface_1","Post_Treatment_Rotenone",2021-10-07,NA,NA,"RM",60.99122998,-150.429541,NA,NA,NA,0,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Surface_1","Post_Treatment_Rotenone",2021-12-02,18:10:00,19:15:00,"BM, JMB",60.991229,-150.429541,2021-12-02 18:15:00,"Clear",NA,NA,"Sampled by KWF","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","JMB 20211210","JMB 20211210",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Surface_1","Post_Treatment_Rotenone",2022-01-05,09:10:00,09:20:00,"BM, MP",60.98769,-150.42764,2022-01-05 09:12:00,"Clear",NA,NA,"Meg took video","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20220105","JMB 20220113",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Surface_2","Post_Treatment_Rotenone",2021-10-07,NA,NA,"RM",60.98769098,-150.427647,NA,NA,NA,0,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Surface_2","Post_Treatment_Rotenone",2021-12-02,18:10:00,19:15:00,"BM, JMB",60.987691,-150.427647,2021-12-02 18:15:00,"Clear",NA,NA,"Sampled by KWF","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","JMB 20211210","JMB 20211210",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Surface_2","Post_Treatment_Rotenone",2022-01-05,09:10:00,09:20:00,"BM, MP",60.99123,-150.42953,2022-01-05 09:12:00,"Clear",NA,NA,"Meg took video","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20220105","JMB 20220113",NA,NA,NA,NA
"Rotenone","Vogel_Lake_Rotenone_Surface_3","Post_Treatment_Rotenone",2021-11-10,NA,NA,"RM",60.9898,-150.428599,NA,NA,NA,0,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
