Mini Sonde 5 64819
"Log File Name : Vogel_Lake_64819"
"Setup Date (M/D/YYYY) : 5/27/2021"
"Setup Time (HH:MM:SS) : 10:24:42"
"Starting Date (M/D/YYYY) : 5/27/2021"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (M/D/YYYY) : 9/27/2021"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","mg/l","","%Left",""

5/28/2021,04:45:00,"","14.99","","7.32","","73","","0.0","","10.18","","0",""
5/28/2021,05:00:00,"","14.99","","7.33","","73","","0.0","","10.12","","0",""
5/28/2021,05:15:00,"","15.02","","7.33","","73","","0.0","","10.14","","0",""
5/28/2021,05:30:00,"","15.04","","7.33","","73","","0.0","","10.06","","0",""
5/28/2021,05:45:00,"","15.01","","7.33","","73","","0.0","","10.04","","0",""
5/28/2021,06:00:00,"","14.99","","7.33","","73","","0.0","","9.98","","0",""
5/28/2021,06:15:00,"","15.03","","7.33","","73","","0.0","","10.02","","0",""
5/28/2021,06:30:00,"","14.97","","7.31","","73","","0.0","","9.87","","0",""
5/28/2021,06:45:00,"","14.97","","7.33","","73","","0.0","","10.05","","0",""
5/28/2021,07:00:00,"","14.78","","7.31","","74","","0.0","","9.82","","0",""
5/28/2021,07:15:00,"","14.87","","7.30","","73","","0.0","","9.89","","0",""
5/28/2021,07:30:00,"","14.93","","7.32","","73","","0.0","","10.09","","0",""
5/28/2021,07:45:00,"","14.89","","7.31","","73","","0.0","","9.93","","0",""
5/28/2021,08:00:00,"","14.90","","7.33","","73","","0.0","","9.98","","0",""
5/28/2021,08:15:00,"","14.88","","7.32","","73","","0.0","","10.02","","0",""
5/28/2021,08:30:00,"","14.85","","7.30","","73","","0.0","","9.95","","0",""
5/28/2021,08:45:00,"","14.81","","7.29","","73","","0.0","","9.91","","0",""
5/28/2021,09:00:00,"","14.82","","7.31","","73","","0.0","","9.93","","0",""
5/28/2021,09:15:00,"","14.82","","7.32","","73","","0.0","","9.92","","0",""
5/28/2021,09:30:00,"","14.82","","7.33","","73","","0.0","","9.98","","0",""
5/28/2021,09:45:00,"","14.81","","7.33","","73","","0.0","","9.89","","0",""
5/28/2021,10:00:00,"","14.81","","7.31","","73","","0.0","","9.94","","0",""
5/28/2021,10:15:00,"","14.78","","7.29","","73","","0.0","","9.85","","0",""
5/28/2021,10:30:00,"","14.78","","7.32","","73","","0.0","","10.02","","0",""
5/28/2021,10:45:00,"","14.78","","7.32","","73","","0.0","","9.95","","0",""
5/28/2021,11:00:00,"","14.74","","7.29","","73","","0.0","","9.96","","0",""
5/28/2021,11:15:00,"","14.73","","7.30","","73","","0.0","","9.96","","0",""
5/28/2021,11:30:00,"","14.72","","7.31","","73","","0.0","","9.92","","0",""
5/28/2021,11:45:00,"","14.69","","7.30","","73","","0.0","","9.95","","0",""
5/28/2021,12:00:00,"","14.67","","7.28","","73","","0.0","","9.84","","0",""
5/28/2021,12:15:00,"","14.64","","7.28","","73","","0.0","","9.83","","0",""
5/28/2021,12:30:00,"","14.64","","7.28","","74","","0.0","","9.89","","0",""
5/28/2021,12:45:00,"","14.62","","7.28","","74","","0.0","","9.87","","0",""
5/28/2021,13:00:00,"","14.61","","7.28","","73","","0.0","","9.91","","0",""
5/28/2021,13:15:00,"","14.60","","7.27","","74","","0.0","","9.87","","0",""
5/28/2021,13:30:00,"","14.60","","7.28","","74","","0.0","","9.84","","0",""
5/28/2021,13:45:00,"","14.60","","7.28","","74","","0.0","","9.88","","0",""
5/28/2021,14:00:00,"","14.60","","7.26","","74","","0.0","","9.86","","0",""
5/28/2021,14:15:00,"","14.60","","7.27","","74","","0.0","","9.86","","0",""
5/28/2021,14:30:00,"","14.59","","7.27","","74","","0.0","","9.83","","0",""
5/28/2021,14:45:00,"","14.58","","7.22","","74","","0.0","","9.79","","0",""
5/28/2021,15:00:00,"","14.57","","7.25","","74","","0.0","","9.75","","0",""
5/28/2021,15:15:00,"","14.57","","7.25","","74","","0.0","","9.82","","0",""
5/28/2021,15:30:00,"","14.57","","7.26","","74","","0.0","","9.82","","0",""
5/28/2021,15:45:00,"","14.58","","7.26","","74","","0.0","","9.82","","0",""
5/28/2021,16:00:00,"","14.58","","7.27","","74","","0.0","","9.82","","0",""
5/28/2021,16:15:00,"","14.59","","7.27","","74","","0.0","","9.80","","0",""
5/28/2021,16:30:00,"","14.60","","7.23","","74","","0.0","","9.80","","0",""
5/28/2021,16:45:00,"","14.60","","7.28","","74","","0.0","","9.83","","0",""
5/28/2021,17:00:00,"","14.62","","7.29","","74","","0.0","","9.83","","0",""
5/28/2021,17:15:00,"","14.60","","7.28","","74","","0.0","","9.76","","0",""
5/28/2021,17:30:00,"","14.59","","7.28","","74","","0.0","","9.80","","0",""
5/28/2021,17:45:00,"","14.56","","7.29","","74","","0.0","","9.83","","0",""
5/28/2021,18:00:00,"","14.59","","7.28","","74","","0.0","","9.81","","0",""
5/28/2021,18:15:00,"","14.59","","7.29","","74","","0.0","","9.83","","0",""
5/28/2021,18:30:00,"","14.58","","7.29","","74","","0.0","","9.82","","0",""
5/28/2021,18:45:00,"","14.58","","7.27","","74","","0.0","","9.77","","0",""
5/28/2021,19:00:00,"","14.58","","7.30","","74","","0.0","","9.80","","0",""
5/28/2021,19:15:00,"","14.59","","7.27","","74","","0.0","","9.81","","0",""
5/28/2021,19:30:00,"","14.58","","7.34","","74","","0.0","","9.81","","0",""
5/28/2021,19:45:00,"","14.58","","7.29","","74","","0.0","","9.80","","0",""
5/28/2021,20:00:00,"","14.55","","7.27","","74","","0.0","","9.86","","0",""
5/28/2021,20:15:00,"","14.51","","7.28","","74","","0.0","","9.82","","0",""
5/28/2021,20:30:00,"","14.50","","7.26","","74","","0.0","","9.79","","0",""
5/28/2021,20:45:00,"","14.49","","7.28","","74","","0.0","","9.79","","0",""
5/28/2021,21:00:00,"","14.47","","7.29","","74","","0.0","","9.80","","0",""
5/28/2021,21:15:00,"","14.44","","7.28","","74","","0.0","","9.76","","0",""
5/28/2021,21:30:00,"","14.42","","7.29","","74","","0.0","","9.78","","0",""
5/28/2021,21:45:00,"","14.39","","7.28","","74","","0.0","","9.72","","0",""
5/28/2021,22:00:00,"","14.37","","7.29","","74","","0.0","","9.75","","0",""
5/28/2021,22:15:00,"","14.31","","7.25","","74","","0.0","","9.73","","0",""
5/28/2021,22:30:00,"","14.29","","7.27","","74","","0.0","","9.69","","0",""
5/28/2021,22:45:00,"","14.26","","7.24","","74","","0.0","","9.65","","0",""
5/28/2021,23:00:00,"","14.22","","7.26","","74","","0.0","","9.61","","0",""
5/28/2021,23:15:00,"","14.19","","7.24","","74","","0.0","","9.61","","0",""
5/28/2021,23:30:00,"","14.16","","7.23","","74","","0.0","","9.55","","0",""
5/28/2021,23:45:00,"","14.14","","7.22","","74","","0.0","","9.55","","0",""
5/29/2021,00:00:00,"","14.11","","7.23","","74","","0.0","","9.59","","0",""
5/29/2021,00:15:00,"","14.09","","7.24","","74","","0.0","","9.54","","0",""
5/29/2021,00:30:00,"","14.06","","7.26","","74","","0.0","","9.54","","0",""
5/29/2021,00:45:00,"","14.02","","7.25","","74","","0.0","","9.56","","0",""
5/29/2021,01:00:00,"","14.00","","7.25","","74","","0.0","","9.50","","0",""
5/29/2021,01:15:00,"","13.97","","7.24","","74","","0.0","","9.47","","0",""
5/29/2021,01:30:00,"","13.92","","7.23","","74","","0.0","","9.49","","0",""
5/29/2021,01:45:00,"","13.89","","7.23","","74","","0.0","","9.45","","0",""
5/29/2021,02:00:00,"","13.87","","7.26","","74","","0.0","","9.41","","0",""
5/29/2021,02:15:00,"","13.85","","7.22","","74","","0.0","","9.42","","0",""
5/29/2021,02:30:00,"","13.81","","7.26","","74","","0.0","","9.41","","0",""
5/29/2021,02:45:00,"","13.80","","7.27","","74","","0.0","","9.39","","0",""
5/29/2021,03:00:00,"","13.79","","7.26","","74","","0.0","","9.44","","0",""
5/29/2021,03:15:00,"","13.76","","7.26","","74","","0.0","","9.41","","0",""
5/29/2021,03:30:00,"","13.73","","7.27","","74","","0.0","","9.44","","0",""
5/29/2021,03:45:00,"","13.71","","7.26","","74","","0.0","","9.45","","0",""
5/29/2021,04:00:00,"","13.70","","7.26","","74","","0.0","","9.40","","0",""
5/29/2021,04:15:00,"","13.69","","7.27","","74","","0.0","","9.38","","0",""
